DISTANCE (MI)	TIME (MIN)	FARE ($)	TOLLS ($)	TIP ($)	TOTAL PAID ($)
2.18	13	11.3	0	2.26	13.56
6.22	21	22.3	0	4.46	26.76
3.6	19	15.8	0	2	17.8
2.4	17	13.3	0	2	15.3
0.4	8	7.3	0	1	8.3
1.97	13	10.3	0	0	10.3
1.02	8	7.3	0	1.46	8.76
1.27	10	8.8	0	1.76	10.56
0.5	6	6.8	0	1	7.8
0.5	5	5.8	0	1.15	6.95
1.2	12	9.8	0	1.96	11.76
1.3	12	9.3	0	8	17.3
3	28	19.8	0	0	19.8
0.7	7	6.8	0	1	7.8
2.3	14	12.3	0	0	12.3
1.2	17	12.3	0	2.46	14.76
0.9	10	8.8	0	1.75	10.55
8.2	30	29.8	0	3.5	33.3
1.2	10	8.8	0	0	8.8
1.2	10	8.3	0	1.66	9.96
0.5	4	5.3	0	1	6.3
8.5	41	34.8	0	6.95	41.75
0.9	15	11.3	0	2.25	13.55
3.1	21	16.3	0	0	16.3
2.5	24	16.3	0	3.25	19.55
1.27	12	9.8	0	1.5	11.3
1.53	13	10.8	0	1.62	12.42
2.75	14	12.8	0	1	13.8
0.86	26	16.3	0	4.08	20.38
1.63	18	12.8	0	2.56	15.36
1.42	62	13.8	0	0.69	14.49
0.96	10	8.3	0	1.66	9.96
3.48	17	15.3	0	3.06	18.36
1.72	13	10.8	0	2.16	12.96
0.7	7	6.8	0	5	11.8
0.8	16	10.8	0	2.7	13.5
0.9	11	9.3	0	0	9.3
1.11	6	6.8	0	0	6.8
1.47	9	8.8	0	1.76	10.56
0.89	10	8.3	0	1.66	9.96
0.6	5	5.8	0	1.7	7.5
1.9	19	13.3	0	1.25	14.55
0.6	6	6.8	0	1.35	8.15
0.1	2	4.3	0	0	4.3
0.9	8	7.3	0	1	8.3
1.05	11	8.8	0	1.76	10.56
0.9	8	7.3	0	1.45	8.75
0.6	5	5.8	0	1.15	6.95
2.5	22	15.3	0	1.7	17
2.6	12	11.3	0	2	13.3
1.4	5	7.3	0	0	7.3
1.75	14	11.3	0	2.26	13.56
0.97	5	6.8	0	5	11.8
0.7	4	5.8	0	0	5.8
3.9	23	18.3	0	2	20.3
1	8	7.8	0	1.17	8.97
0.4	5	5.8	0	1.15	6.95
1	14	10.8	0	2.15	12.95
0.7	5	5.8	0	0	5.8
3.72	29	20.3	0	0	20.3
1.8	15	11.8	0	1	12.8
2.15	22	14.8	0	0	14.8
0.71	6	6.3	0	0	6.3
1.68	10	9.8	0	1.5	11.3
0.96	4	5.8	0	1.16	6.96
1	5	6.8	0	1.35	8.15
1	8	7.8	0	2.34	10.14
0.8	7	6.8	0	1.35	8.15
0.9	6	6.3	0	1.85	8.15
2.1	22	14.8	0	0	14.8
4.39	38	25.3	0	5.06	30.36
1.12	12	9.8	0	2.45	12.25
6.48	26	24.3	0	0	24.3
0.3	3	4.8	0	0.95	5.75
1.8	17	13.3	0	0	13.3
9.4	21	28.8	5.76	0	34.56
0.87	7	6.8	0	0	6.8
2.07	24	15.8	0	2	17.8
1.67	10	9.3	0	1.7	11
0.84	3	5.8	0	1.16	6.96
2.43	11	10.8	0	1.08	11.88
1.24	7	7.8	0	1.56	9.36
1.3	9	8.8	0	1.75	10.55
2.1	17	13.3	0	2.65	15.95
1.53	11	10.3	0	0	10.3
0.94	7	7.3	0	0	7.3
1.02	21	13.3	0	2.66	15.96
1.2	7	7.8	0	1.55	9.35
1.9	19	13.3	0	2.65	15.95
1.1	5	6.3	0	1.25	7.55
0.9	5	6.3	0	1.25	7.55
4.3	32	21.8	0	0	21.8
0.92	5	6.8	0	1	7.8
0.66	8	7.3	0	1.2	8.5
1.13	6	7.3	0	1.1	8.4
0.86	9	8.3	0	0	8.3
0.5	3	4.8	0	0	4.8
1.4	9	8.8	0	1.32	10.12
2.7	21	15.3	0	4	19.3
1.3	20	13.3	0	3.3	16.6
1.29	20	13.8	0	0	13.8
0.88	7	7.3	0	1.46	8.76
1.04	6	7.3	0	0	7.3
1.1	8	7.8	0	1.56	9.36
4.17	23	18.8	0	3.76	22.56
0.55	4	5.3	0	1.06	6.36
0.03	3	4.3	0	0	4.3
2.24	17	13.3	0	2.66	15.96
6.52	24	23.8	0	3.57	27.37
1.11	10	8.8	0	1.76	10.56
1.35	6	7.8	0	1	8.8
0.71	4	5.8	0	1.16	6.96
0.4	5	5.8	0	0.87	6.67
2.89	4	52.8	5.76	11.71	70.27
2.15	17	12.3	0	2	14.3
0.64	4	5.8	0	1.16	6.96
1.17	9	7.8	0	0	7.8
0.63	5	5.8	0	0.87	6.67
1.3	10	8.8	0	1.75	10.55
1.1	6	6.8	0	1.2	8
1.2	7	7.8	0	1.2	9
2.1	15	11.8	0	0	11.8
0.7	5	5.8	0	0.8	6.6
1.1	7	7.8	0	0.78	8.58
0.7	4	5.8	0	0	5.8
0.78	4	5.3	0	1.06	6.36
3.31	22	16.3	0	1	17.3
1.58	8	8.8	0	1	9.8
2.29	23	16.3	0	2	18.3
17.48	62	52.8	5.76	11.71	70.27
14.3	42	41.8	0	8.36	50.16
2.9	21	16.3	0	0	16.3
1.4	12	9.8	0	1.95	11.75
0.5	3	5.3	0	1.05	6.35
0.92	5	6.3	0	1.26	7.56
0.35	2	4.3	0	0	4.3
1.42	9	9.3	0	1	10.3
1.79	7	8.3	0	0	8.3
1.51	11	9.8	0	1.5	11.3
1.37	15	11.8	0	2.36	14.16
1.09	11	9.3	0	1.4	10.7
1.95	15	12.3	0	1	13.3
0.81	4	5.3	0	1.2	6.5
2.77	26	17.8	0	3.56	21.36
1.88	16	11.8	0	0	11.8
4.7	31	22.8	0	4.56	27.36
0.47	4	5.8	0	0	5.8
3.32	18	15.3	0	2	17.3
1.68	19	13.8	0	2.76	16.56
0.68	5	6.3	0	1.26	7.56
1.23	10	8.8	0	1	9.8
2.04	35	21.3	0	5.32	26.62
1.86	13	11.3	0	2.26	13.56
1.64	14	10.8	0	2.16	12.96
2.26	21	15.3	0	2.75	18.05
0.8	8	7.8	0	1.95	9.75
1.3	11	9.3	0	1.85	11.15
1.3	10	8.8	0	2	10.8
0.9	10	8.3	0	0	8.3
0.9	11	8.8	0	1.5	10.3
1	12	9.8	0	2.45	12.25
1.3	15	11.8	0	0	11.8
1.3	15	11.3	0	3	14.3
0.9	6	6.8	0	0	6.8
1.3	10	8.8	0	0	8.8
0.88	7	6.8	0	1.36	8.16
0.94	4	5.8	0	1	6.8
0.78	4	5.8	0	1.16	6.96
0.71	6	6.3	0	1	7.3
0.57	6	6.3	0	0	6.3
2.29	22	14.3	0	0	14.3
0.93	5	6.3	0	1.89	8.19
18.08	43	52.8	5.76	11.71	70.27
0.6	8	7.3	0	2.15	9.45
1.7	8	8.8	0	1.75	10.55
1.1	11	8.8	0	1.32	10.12
1.2	7	7.8	0	1.55	9.35
2.15	15	11.8	0	2.95	14.75
0.92	8	7.3	0	1	8.3
2.64	23	16.3	0	1.7	18
1.13	7	7.8	0	0	7.8
3.02	26	17.8	0	1.5	19.3
0.7	7	6.8	0	1.35	8.15
1.6	10	9.3	0	2.3	11.6
9.9	26	30.3	0	0	30.3
1.05	8	7.3	0	2.19	9.49
15.87	32	44.8	5.76	12.64	63.2
1.41	27	16.8	0	3.36	20.16
1.9	12	10.8	0	1.6	12.4
0.4	4	5.3	0	1.32	6.62
0.73	7	6.8	0	1.36	8.16
0.99	7	7.3	0	1.46	8.76
1.92	14	11.3	0	1.5	12.8
1.87	18	12.8	0	1	13.8
1.93	15	11.3	0	2.26	13.56
1.99	12	10.8	0	1.08	11.88
0.91	13	9.8	0	0	9.8
4.79	35	24.3	0	4.86	29.16
3.53	17	14.8	0	0	14.8
10.37	40	35.8	0	7.16	42.96
0.6	9	8.3	0	1.65	9.95
2.1	11	10.8	0	1	11.8
6.6	26	23.8	0	5	28.8
1.5	10	9.3	0	1.85	11.15
1.3	8	7.8	0	0	7.8
1.44	12	9.8	0	2.45	12.25
1.22	7	7.8	0	1.56	9.36
7.67	26	27.3	0	5.46	32.76
0.7	9	7.8	0	1.56	9.36
0.6	4	5.3	0	0	5.3
1.9	17	12.3	0	1	13.3
0.8	10	8.8	0	2.6	11.4
0.3	2	4.3	0	0.64	4.94
1.2	10	8.8	0	0	8.8
1.6	18	13.3	0	2.65	15.95
2.58	17	14.3	0	2.86	17.16
1.9	14	11.3	0	2.26	13.56
1.24	14	10.8	0	2.7	13.5
0.97	8	7.8	0	0	7.8
0.47	3	4.8	0	0	4.8
2.07	14	11.8	0	2.36	14.16
1.64	12	10.3	0	2.06	12.36
1	14	10.3	0	2.05	12.35
3.8	22	17.8	0	0	17.8
3.4	22	16.8	0	3.35	20.15
1.2	6	6.8	0	1	7.8
2	15	11.8	0	1	12.8
1.2	7	7.8	0	1.17	8.97
1.41	13	10.8	0	0	10.8
1.2	11	9.3	0	2.79	12.09
1.02	15	11.3	0	2.26	13.56
6	28	24.3	0	0	24.3
1.9	17	12.3	0	2.46	14.76
0.8	6	6.3	0	1.25	7.55
0.4	3	4.8	0	1.2	6
1.2	4	6.3	0	1.55	7.85
1.3	12	9.3	0	0	9.3
0.9	6	6.3	0	1.25	7.55
1.82	15	11.8	0	3.54	15.34
0.45	2	4.3	0	0	4.3
0.94	12	9.8	0	1.96	11.76
0.89	6	6.8	0	2.04	8.84
1.14	13	10.3	0	2.06	12.36
1.07	8	7.8	0	1.95	9.75
2.09	24	16.8	0	3.36	20.16
2.6	12	11.8	0	0	11.8
1.4	13	10.3	0	1.5	11.8
0.8	6	6.8	0	1.35	8.15
1.8	15	11.8	0	2.35	14.15
12.58	35	39.3	5.76	9.01	54.07
1.21	12	9.8	0	0	9.8
5.12	18	19.8	0	1.5	21.3
1.6	10	9.3	0	1.7	11
3.4	25	18.3	0	3.65	21.95
1.6	9	8.8	0	1	9.8
1.9	14	11.8	0	1	12.8
2.1	22	15.3	0	4.7	20
0.83	7	6.8	0	1	7.8
1.15	7	7.3	0	1.5	8.8
0.47	3	5.3	0	0	5.3
1.61	13	10.3	0	2.58	12.88
0.82	5	6.3	0	1.26	7.56
1.42	11	9.3	0	1.86	11.16
0.94	11	9.3	0	1	10.3
1.13	15	11.3	0	2.26	13.56
0.54	3	5.3	0	0	5.3
6.77	30	26.3	0	7.89	34.19
3.75	40	25.3	0	6.32	31.62
7.9	52	36.8	0	11.04	47.84
2.4	18	14.3	0	2.85	17.15
2.1	14	11.8	0	0.59	12.39
2.7	17	13.3	0	2.65	15.95
0.4	3	4.8	0	1.2	6
2	13	11.3	0	1	12.3
4.88	20	19.8	0	0	19.8
2.38	15	12.8	0	2	14.8
5.2	28	22.3	0	1.12	23.42
1.6	19	13.3	0	1.33	14.63
1.56	19	12.8	0	3.2	16
1.57	22	14.3	0	1	15.3
18.3	45	52.8	0	5	57.8
2.34	20	14.8	0	0	14.8
21.24	46	52.8	5.76	14.64	73.2
0.64	3	5.3	0	1.59	6.89
1.46	11	9.8	0	1.96	11.76
0.71	5	5.8	0	1	6.8
0.84	5	6.3	0	1.26	7.56
1.55	10	9.3	0	0	9.3
1.08	13	9.8	0	2.45	12.25
0.93	8	7.8	0	1.5	9.3
2.1	11	10.8	0	2.15	12.95
3.3	20	15.8	0	2.5	18.3
0.5	4	5.3	0	1.3	6.6
0.9	9	8.3	0	1	9.3
0.49	4	5.8	0	0	5.8
0.89	6	6.3	0	0	6.3
1.21	9	8.3	0	0	8.3
1.46	9	8.3	0	1.66	9.96
2.51	13	11.3	0	0	11.3
14.93	35	43.3	0	8.66	51.96
0.25	5	5.3	0	1.06	6.36
2.37	19	14.3	0	0	14.3
0.9	6	6.8	0	2	8.8
2.57	30	19.8	0	3.96	23.76
1	12	9.8	0	1.95	11.75
0.5	12	8.8	0	1.75	10.55
2.03	22	14.3	0	0	14.3
1.14	10	8.8	0	1.76	10.56
0.77	8	7.3	0	1.46	8.76
0.94	9	8.3	0	1.66	9.96
2.94	24	16.8	0	3.36	20.16
2.8	15	12.8	0	0	12.8
0.8	8	7.3	0	0	7.3
2.6	18	13.3	0	2.65	15.95
0.5	3	5.3	0	0	5.3
1.5	16	11.8	0	0	11.8
1.6	6	7.8	0	1.56	9.36
1.34	11	9.3	0	1.86	11.16
1.73	17	12.8	0	2.56	15.36
0.79	10	8.3	0	1.66	9.96
4.05	15	15.3	0	0	15.3
2.37	17	13.8	0	2.76	16.56
1.62	11	9.8	0	2.45	12.25
1.67	13	11.3	0	3.39	14.69
0.62	6	6.3	0	0	6.3
0.83	8	7.3	0	1.82	9.12
0.69	4	5.8	0	1.74	7.54
0.52	9	7.8	0	1.56	9.36
1.6	15	11.8	0	2.95	14.75
2	11	10.8	0	1.62	12.42
0.8	8	7.3	0	1.45	8.75
10.62	49	37.8	0	9.45	47.25
1.4	11	9.3	0	1.85	11.15
2	15	11.8	0	2	13.8
1	11	8.8	0	0	8.8
1.1	7	7.8	0	1.55	9.35
0.6	5	5.8	0	1	6.8
2.8	23	16.3	0	3.26	19.56
0.9	9	7.8	0	1.56	9.36
6.74	29	27.3	0	0	27.3
0.99	9	8.3	0	1.66	9.96
3.36	14	13.8	0	1.38	15.18
1.04	11	8.8	0	1.2	10
8.05	21	25.8	0	4	29.8
8.99	42	34.3	5.76	7	47.06
9.92	34	34.3	5.76	6.6	46.66
1.21	10	9.3	0	1.86	11.16
0.76	5	6.3	0	1.26	7.56
1.64	19	13.3	0	1.7	15
1.32	11	9.8	0	0.98	10.78
5.01	26	21.3	0	4.26	25.56
6.2	18	21.8	0	4.35	26.15
1	7	7.8	0	1.95	9.75
0.4	2	4.3	0	0.85	5.15
3.1	23	17.8	0	3	20.8
1	7	7.3	0	1.1	8.4
11.12	26	33.8	5.76	0	39.56
0.73	10	8.3	0	0	8.3
0.93	9	8.3	0	1.66	9.96
1.94	15	11.8	0	0	11.8
1.1	17	12.3	0	1.5	13.8
2.8	15	14.3	0	2	16.3
0.7	11	8.8	0	0	8.8
0.8	7	6.8	0	2	8.8
1.48	9	8.8	0	1.76	10.56
1.54	15	11.8	0	2.36	14.16
1.41	24	15.3	0	3.06	18.36
1.19	8	8.3	0	1.66	9.96
1.64	14	10.8	0	2.16	12.96
2.1	16	12.8	0	0	12.8
2.03	12	10.8	0	1.62	12.42
0.28	3	4.8	0	0.96	5.76
1.63	12	10.3	0	1.24	11.54
3.02	26	18.3	0	3	21.3
0.45	3	4.8	0	0.96	5.76
1.17	16	11.3	0	2.26	13.56
19.33	50	52.8	5.76	0	58.56
1.62	8	8.3	0	2.08	10.38
2.8	20	14.8	0	2	16.8
0.4	5	5.3	0	0	5.3
1.4	7	7.8	0	1.56	9.36
3.6	18	15.8	0	3.15	18.95
2.4	15	11.8	0	2.35	14.15
1.4	14	10.8	0	2.15	12.95
1	9	7.8	0	1.55	9.35
0.4	8	7.3	0	0	7.3
6.4	24	23.8	0	4.75	28.55
1.06	8	7.8	0	1	8.8
5.71	20	20.3	0	4.06	24.36
2.39	17	13.8	0	1.5	15.3
0.7	8	7.3	0	0	7.3
0.7	12	9.3	0	0	9.3
2.5	20	14.8	0	0	14.8
3.3	19	15.8	0	2.5	18.3
1	11	9.3	0	0	9.3
1.8	14	11.3	0	0	11.3
1.2	8	8.3	0	2.45	10.75
0.5	6	6.3	0	0.63	6.93
0.83	4	5.8	0	1	6.8
1.87	15	12.3	0	1	13.3
0.86	8	7.3	0	0	7.3
1.13	6	7.3	0	1.1	8.4
2.15	21	15.3	0	2	17.3
1.09	11	9.3	0	0	9.3
1.89	22	14.8	0	1	15.8
0.9	6	6.8	0	0	6.8
8.9	29	65.3	0	13.05	78.35
5.5	23	20.8	0	5.2	26
2.3	31	19.3	0	3.86	23.16
9.6	46	36.3	5.76	7.94	50
2.61	28	18.3	0	0	18.3
1.25	7	7.3	0	0	7.3
2.52	21	14.8	0	0	14.8
0.77	7	6.8	0	1.02	7.82
3.75	25	18.8	0	3.76	22.56
7.75	39	31.8	5.76	7.51	45.07
0.81	3	5.3	0	0.8	6.1
1.6	11	9.8	0	1	10.8
1.23	7	7.8	0	1.56	9.36
2.5	20	14.8	0	2.95	17.75
