BOSTON MA	NEW YORK NY	LOS ANGELES CA	CHICAGO IL	DALLAS TX	BOISE ID	POUGHKEEPSIE NY	BURLINGTON VT
20	60	10	60	60	22	138	30
40	30	10	9	30	15	30	5
15	20	30	40	90	17	50	1
35	138	15	60	20	60	20	7
10	5	1	30	60	60	25	10
20	20	60	55	15	5	20	10
30	50	15	10	30	5	20	35
15	5	15	15	12	15	10	5
30	25	35	15	15	10	20	10
60	9	10	50	50	15	15	5
100	20	45	10	20	20	20	1
5	15	35	45	50	7	6	40
30	60	12	30	30	15	50	20
60	138	60	30	10	25	30	13
30	40	30	30	50	30	30	45
36	10	30	5	30	10	45	10
10	60	7	30	5	15	30	5
15	40	10	10	30	45	5	45
30	60	30	55	20	4	40	20
30	45	10	7	5	10	25	15
10	60	60	50	10	30	10	2
30	20	60	30	40	16	90	10
20	15	35	20	20	20	12	45
100	10	30	15	20	45	10	12
90	40	45	5	60	20	25	15
35	40	10	35	15	10	20	45
15	20	30	25	40	8	20	5
35	60	60	30	30	45	50	20
60	60	10	30	90	5	30	30
15	20	60	20	30	7	138	5
60	35	30	149	10	40	10	13
32	60	30	20	25	20	45	20
20	90	90	20	45	20	138	35
30	75	15	40	9	5	17	5
40	20	15	60	45	5	10	50
15	55	15	30	30	20	57	5
35	20	45	6	20	20	17	20
20	15	15	20	35	5	15	10
15	60	5	149	45	5	10	20
50	40	45	60	20	8	15	15
20	5	10	40	60	5	12	30
6	138	25	30	40	25	15	15
30	5	35	15	20	30	138	2
40	30	30	60	25	151	5	10
10	40	35	55	20	3	15	4
60	45	30	10	60	20	70	30
60	40	15	20	60	20	13	25
15	30	20	50	10	10	85	5
146	30	30	25	30	15	138	30
10	40	60	10	45	25	15	10
20	30	25	45	45	20	30	20
25	25	15	30	45	25	10	10
60	30	5	20	15	5	15	30
10	45	7	2	30	4	20	5
20	35	25	40	30	20	17	30
20	15	60	5	20	15	32	25
5	75	60	50	40	15	10	5
30	45	60	10	30	10	10	30
40	65	30	20	30	30	100	15
10	15	15	20	15	12	5	30
30	45	15	45	1	20	20	15
60	60	50	30	45	10	138	25
45	20	90	40	40	10	15	10
60	90	10	20	30	30	10	10
50	60	30	45	12	30	5	20
30	70	25	30	15	20	25	10
8	138	20	15	15	20	45	20
20	25	20	60	30	4	2	40
20	15	20	15	30	40	35	125
15	30	10	40	15	15	15	20
30	138	20	30	30	20	50	15
15	5	15	40	15	20	30	15
40	60	40	25	25	10	10	10
5	20	15	20	30	151	15	20
50	50	35	25	30	10	20	7
20	90	30	25	45	25	15	35
25	30	60	25	20	45	15	15
50	60	25	60	20	15	30	15
30	15	10	65	15	45	90	20
15	45	5	45	25	17	15	30
45	45	30	70	4	5	15	1
10	30	15	15	10	5	50	60
35	30	60	10	25	10	15	125
33	30	15	35	15	20	20	15
2	30	60	60	15	18	5	15
45	60	30	30	5	40	5	35
10	60	30	20	2	10	5	5
27	15	45	45	20	10	15	20
10	60	15	90	40	30	10	20
30	40	30	30	10	30	20	15
20	30	60	38	15	15	90	10
20	45	60	40	50	3	75	3
30	40	60	15	32	60	15	30
20	15	5	60	20	20	30	20
40	60	55	25	55	5	10	8
20	25	10	45	30	15	30	20
12	30	25	60	45	25	5	40
30	50	60	20	35	10	45	20
15	75	20	60	20	20	5	30
15	138	40	30	30	15	8	125
45	60	20	30	20	15	45	30
5	90	30	40	35	25	15	20
25	15	60	15	25	20	10	10
50	30	40	30	60	20	15	1
75	45	15	30	70	15	5	25
15	60	90	90	10	30	25	30
15	20	60	45	25	10	20	45
20	30	30	60	20	20	12	25
50	50	35	5	35	25	15	20
5	75	70	30	65	15	20	10
10	75	30	70	20	30	20	20
50	40	20	15	28	15	15	20
75	30	45	20	45	15	40	10
45	25	15	45	35	30	138	30
5	45	40	60	60	20	5	40
10	20	30	25	30	30	15	60
20	10	12	5	60	30	10	18
4	15	35	20	10	10	5	30
90	30	10	50	45	20	30	20
20	30	30	10	60	10	30	5
5	10	30	40	30	30	5	30
30	15	35	30	10	19	35	12
40	30	60	60	15	30	10	30
10	45	1	15	30	20	60	20
15	60	20	60	45	25	42	15
30	60	60	10	40	11	40	15
25	10	25	30	30	15	15	15
90	1	30	10	5	20	115	15
40	20	50	30	30	55	110	20
15	60	35	60	45	10	90	10
20	15	10	30	15	60	138	15
15	15	30	40	15	40	10	5
5	90	30	149	45	20	10	5
60	30	15	90	20	15	6	10
20	15	20	30	40	5	30	25
10	15	55	15	15	55	138	30
10	35	20	20	20	10	4	12
30	40	15	45	10	5	10	25
15	5	1	50	90	5	30	25
45	15	10	90	35	10	15	6
20	10	7	30	30	10	10	35
3	10	30	40	30	90	45	45
20	15	30	60	30	8	20	30
30	50	45	90	5	30	5	35
10	75	10	30	35	20	15	10
25	25	10	15	10	15	44	20
30	50	30	30	18	22	45	60
3	5	1	40	153	15	20	30
10	45	30	20	10	30	30	15
10	60	45	65	20	15	90	30
5	20	15	35	15	20	15	20
5	80	30	30	50	30	20	20
45	40	10	10	20	15	10	8
20	30	30	40	45	20	5	15
5	30	10	20	60	15	15	35
20	60	30	15	35	1	30	15
25	45	60	10	10	22	15	5
20	50	30	60	10	45	75	25
30	45	10	45	25	15	45	20
45	10	65	20	30	37	60	10
40	50	5	90	2	10	15	15
20	60	20	15	15	15	5	18
30	15	30	40	45	20	60	20
45	60	20	30	10	15	17	60
30	50	30	45	25	4	8	20
45	25	45	35	35	10	60	60
30	25	20	30	45	25	60	15
70	60	45	30	25	10	30	40
40	75	15	30	20	20	20	15
25	25	20	30	15	5	15	15
35	60	15	30	60	15	40	30
30	50	60	45	20	30	30	20
75	18	50	7	45	5	10	3
10	50	15	50	30	5	20	15
10	30	20	2	15	60	7	25
18	40	20	45	30	20	15	35
8	70	15	25	30	15	20	5
10	45	15	30	5	15	18	22
30	40	15	30	60	30	45	10
65	5	30	30	15	20	60	25
90	10	10	35	45	15	25	30
40	45	60	30	20	30	30	15
60	30	20	75	25	20	15	30
30	8	15	75	26	10	138	45
15	2	20	40	30	20	40	15
45	40	10	80	30	20	50	20
20	70	30	60	25	5	25	30
20	45	60	25	15	30	10	30
45	60	20	40	75	20	10	45
15	10	45	30	45	10	20	1
20	15	15	40	40	30	10	30
30	80	10	45	20	5	32	5
25	60	30	25	30	30	10	20
35	30	30	10	15	5	30	30
20	60	30	30	45	30	70	15
25	60	15	5	15	15	25	30
45	30	30	10	15	30	60	20
30	45	15	15	1	20	75	5
30	45	10	25	40	15	15	40
30	30	15	45	45	15	10	60
25	45	40	90	3	25	10	25
20	30	35	25	40	15	30	35
23	60	10	65	20	20	15	25
40	5	45	45	8	15	5	13
5	45	20	30	20	30	30	10
30	60	80	65	10	22	30	30
45	30	40	20	30	25	10	10
15	75	45	15	5	15	30	15
20	80	10	10	15	40	60	15
5	40	15	15	40	15	38	20
40	1	60	25	40	18	60	10
45	10	15	45	45	7	55	20
30	138	40	20	30	15	35	5
30	70	20	40	60	30	30	15
30	40	90	45	20	30	90	5
60	50	25	35	20	15	4	30
45	20	40	10	30	25	20	30
15	30	60	55	153	10	10	35
40	20	25	30	30	35	20	10
40	30	10	20	62	1	20	15
30	10	10	70	30	40	40	20
40	60	60	15	7	5	90	14
60	15	20	45	30	15	55	25
45	20	45	25	15	30	20	10
30	25	15	15	5	20	138	5
45	45	15	20	45	15	5	35
25	60	25	40	45	15	20	15
20	30	30	30	1	15	30	10
30	60	50	15	30	15	7	6
25	15	20	15	30	15	90	20
60	45	45	10	30	5	10	40
5	90	20	15	20	30	30	5
7	30	60	45	15	15		15
40	45	15	40	20	45		15
30	45	15	90	5	15		30
25	30	65	35	60	20		30
75	60	15	25	60	30		45
15	30	20	60	17	4		5
20	20	10	15	15	5		20
40	60	20	5	30	13		25
15	60	50	30	17	15		45
10	60	20	45	15	15		5
25	35	20	40	35	15		30
30	75	5	18	3	20		25
30	20	60	10	45	20		10
30	30	15	15	50	5		10
16	75	15	30	40	10		125
20	30	15	30	40	12		10
15	20	30	40	50	45		20
30	60	30	50	45	12		20
30	60	30	75	15	9		80
60	45	60	7	15	15		25
20	25	13	80	15	10		20
30	90	45	10	20	15		5
55	40	35	10	50	20		21
30	25	20	60	20	45		25
5	40	15	15	20	25		10
20	60	30	40	2	25		40
30	45	30	45	15	20		35
25	30	45	45	45	5		25
20	50	45	10	20	5		10
30	90	1	60	20	40		75
20	25	20	90	20	15		10
30	5	20	45	20	30		5
15	55	40	30	20	10		2
20	30	60	45	10	20		30
20	15	25	90	10	5		30
35	10	10	30	15	30		10
30	25	10	25	30	35		35
30	45	20	60	5	10		25
30	20	30	35	30	15		15
15	60	15	25	25	15		30
5	45	30	60	45	5		15
12	45	60	25	35	10		20
5	35	45	10	60	20		25
60	50	25	25	10	10		30
20	35	15	25	80	45		43
20	30	15	2	30	151		10
146	15	30	5	60	30		12
25	35	45	5	40	3		10
20	15	10	15	15	10		5
15	60	20	7	25	20		25
15	75	30	75	20	151		10
20	60	15	10	15	10		20
20	90	30	30	25	8		30
5	60	45	60	30	30		5
30	30	40	30	12	30		5
25	45	20	25	5	15		15
50	3	15	60	15	10		5
15	20	25	90	20	10		50
15	30	30	30	30	8		20
20	60	20	24	7	10		14
15	30	90	20	50	22		30
10	30	30	20	60	20		15
25	30	20	30	10	30		50
10	45	15	15	5	5		7
45	15	15	40	25	25		5
20	25	8	45	5	40		20
60	45	30	30	25	30		12
30	45	25	10	5	25		7
20	45	7	25	60	30		10
20	15	20	45	20	45		5
10	45	30	30	60	10		50
60	10	60	45	10	8		40
15	60	30	30	45	30		7
60	35	10	15	20	25		30
30	40	20	30	15	12		35
20	30	5	30	45	30		30
12	15	25	60	60	45		15
20	30	30	20	50	25		45
40	70	60	10	20	20		
30	60	40	15	10	30		
60	20	45	35	30	15		
30	60	90	45	20	30		
40	50	50	30	5	20		
40	50	90	60	30	20		
15	60	141	149	27	20		
30	30	10	10	15	20		
25	11	45	45	30	20		
25	35	25	5	35	10		
15	45	60	12	10	20		
55	30	15	10	60	20		
30	45	45	60	60	20		
15	45	30	30	20	30		
20	25	45	60	65	30		
10	15	15	5	50	20		
35	45	34	5	5	15		
40	60	20	5	60	20		
35	25	25	30	30	15		
30	40	5	40	25	5		
16	60	30	34	5	3		
20	45	45	25	30	25		
15	45	20	15	60	30		
30	60	15	45	8	12		
30	70	15	15	60	10		
10	90	30	35	45	30		
30	45	40	45	7	15		
30	60	10	60	20	30		
50	40	30	45	45	15		
10	5	141	55	35	20		
20	45	30	25	45	15		
50	10	30	50	10	20		
15	35	15	20	45	5		
10	30	30	10	20	10		
20	50	30	30	80	20		
35	60	30	30	90	20		
20	60	15	30	25	30		
15	138	30	40	30	20		
30	80	45	75	10	25		
25	80	10	30	2	30		
10	60	20	20	10	60		
20	5	15	60	20	10		
15	30	30	10	15	30		
15	60	20	15	30	30		
30	40	45	1	15	20		
15	25	30	90	20	30		
20	90	15	20	10	14		
40	60	25	70	20	50		
30	10	45	5	35	15		
20	25	15	60	30	20		
45	15	30	15	4	30		
146	35	50	15	45	15		
45	20	60	15	10	15		
5	20	60	55	25	30		
45	30	20	45	23	5		
45	30	30	40	35	20		
30	40	10	90	5	15		
30	50	5	25	40	30		
45	60	15	15	60	25		
60	20	40	40	35	5		
18	5	20	35	10	7		
12	45	2	15	8	20		
40	60	30	15	10	151		
5	60	30	25	60	30		
20	60	20	60	20	20		
20	40	25	40	15	3		
25	60	15	60	1	20		
25	90	20	20	7	25		
2	90	45	20	30	20		
20	15	20	30	15	12		
15	90	7	60	20	5		
20	30	45	149	15	15		
30	75	50	30	10	25		
25	60	20	40	2	15		
10	60	10	30	45	25		
55	35	40	45	3	20		
10	15	30	40	15	15		
25	40	90	60	30	45		
15	50	40	60	35	20		
10	70	20	30	60	25		
35	20	45	15	45	30		
15	30	20	60	15	30		
50	30	25	10	60	15		
20	45	55	45	40	30		
5	45	15	20	30	15		
20	60	20	149	75	5		
10	138	12	5	30	30		
30	30	10	60	10	12		
35	40	48	30	45	20		
20	30	5	35	10	15		
30	40	25	45	60	40		
3	45	45	60	8	1		
30	10	30	30	8	22		
40	75	90	20	30	25		
10	20	30	10	15	23		
10	45	25	45	30	5		
15	138	20	60	60	30		
20	20	30	40	30	30		
30	45	10	60	20	12		
30	90	45	10	7	15		
60	55	15	15	30	10		
30	90	10	60	10	15		
40	30	5	40	15	1		
30	40	15	17	35	5		
15	30	60	45	10	15		
10	60	30	15	15	20		
20	60	20	30	30	25		
45	60	20	90	10	10		
20	40	25	5	30	20		
