GENDER (1=M)	MEASURED WEIGHT (LB)	REPORTED WEIGHT (LB)	MEASURED HEIGHT (IN)	REPORTED  HEIGHT (IN)	MEASURED WEIGHT (KG)	REPORTED WEIGHT (KG)	MEASURED HEIGHT (CM)	REPORTED HEIGHT (CM)
1	161.4	155	70.4	70	73.2	70.3	178.9	177.8
0	200.8	201	67.8	67	91.1	91.2	172.3	170.2
1	159.8	163	67.6	67	72.5	73.9	171.6	170.2
0	218.9	145	67.5	69	99.3	65.8	171.5	175.3
1	198.4	188	68.3	70	90.0	85.3	173.6	177.8
0	150.4	148	61.8	62	68.2	67.1	156.9	157.5
1	142.6	155	68.1	66	64.7	70.3	172.9	167.6
0	188.9	187	61.4	60	85.7	84.8	156.0	152.4
0	206.8	215	63.9	66	93.8	97.5	162.4	167.6
0	127.6	129	60.7	62	57.9	58.5	154.1	157.5
1	171.5	172	67.1	68	77.8	78.0	170.5	172.7
0	122.1	122	60.6	62	55.4	55.3	154.0	157.5
1	157.9	160	69.5	70	71.6	72.6	176.6	177.8
1	173.5	175	68.5	69	78.7	79.4	174.0	175.3
0	144.8	145	61.5	62	65.7	65.8	156.3	157.5
0	200.2	205	64.8	65	90.8	93.0	164.6	165.1
0	109.6	110	67.0	66	49.7	49.9	170.2	167.6
0	122.8	123	60.8	62	55.7	55.8	154.4	157.5
0	124.3	125	60.0	62	56.4	56.7	152.3	157.5
1	181.9	180	68.2	70	82.5	81.6	173.3	177.8
1	129.9	150	65.7	67	58.9	68.0	167.0	170.2
1	151.9	158	65.6	68	68.9	71.7	166.6	172.7
0	157.2	140	64.3	64	71.3	63.5	163.2	162.6
1	203.5	207	68.1	70	92.3	93.9	173.0	177.8
1	257.3	254	71.6	73	116.7	115.2	181.9	185.4
0	162.0	140	66.3	67	73.5	63.5	168.4	170.2
0	173.9	165	63.0	65	78.9	74.8	160.0	165.1
1	157.4	150	68.0	71	71.4	68.0	172.7	180.3
1	124.6	135	64.6	66	56.5	61.2	164.1	167.6
0	149.7	152	60.6	61	67.9	68.9	153.8	154.9
1	172.8	178	68.5	69	78.4	80.7	174.1	175.3
1	205.3	200	69.3	81	93.1	90.7	176.0	205.7
0	129.2	133	63.2	64	58.6	60.3	160.6	162.6
0	278.4	285	64.1	64	126.3	129.3	162.9	162.6
0	161.4	160	60.9	61	73.2	72.6	154.7	154.9
0	150.8	154	65.6	66	68.4	69.9	166.5	167.6
0	324.1	320	66.1	66	147.0	145.1	167.9	167.6
0	147.7	138	58.8	62	67.0	62.6	149.4	157.5
1	285.1	285	70.6	72	129.3	129.3	179.4	182.9
1	264.8	260	70.9	72	120.1	117.9	180.0	182.9
1	134.3	140	66.5	67	60.9	63.5	169.0	170.2
0	211.2	170	64.9	65	95.8	77.1	164.9	165.1
0	240.7	245	65.9	66	109.2	111.1	167.5	167.6
1	205.3	200	70.1	71	93.1	90.7	178.1	180.3
0	171.1	172	61.1	62	77.6	78.0	155.3	157.5
1	164.5	160	66.7	68	74.6	72.6	169.5	172.7
0	106.3	106	59.9	60	48.2	48.1	152.1	152.4
1	157.4	140	69.4	69	71.4	63.5	176.2	175.3
1	126.8	128	69.5	70	57.5	58.1	176.5	177.8
1	216.3	225	71.2	73	98.1	102.1	180.9	185.4
1	214.1	215	70.2	72	97.1	97.5	178.4	182.9
1	231.7	220	70.2	72	105.1	99.8	178.4	182.9
0	159.2	154	62.7	61	72.2	69.9	159.3	154.9
0	147.3	142	59.6	61	66.8	64.4	151.4	154.9
1	135.6	132	64.9	66	61.5	59.9	164.9	167.6
0	268.7	267	61.6	61	121.9	121.1	156.4	154.9
0	213.4	210	69.4	71	96.8	95.3	176.2	180.3
1	316.6	300	71.8	71	143.6	136.1	182.4	180.3
0	201.3	204	65.4	66	91.3	92.5	166.0	167.6
0	107.1	107	61.9	62	48.6	48.5	157.3	157.5
1	161.8	165	67.5	67	73.4	74.8	171.5	170.2
0	172.0	176	66.3	66	78.0	79.8	168.5	167.6
1	216.3	212	68.9	69	98.1	96.2	175.1	175.3
1	303.6	250	68.3	69	137.7	113.4	173.6	175.3
0	187.4	187	62.9	61	85.0	84.8	159.8	154.9
0	132.5	135	60.6	62	60.1	61.2	153.9	157.5
0	122.1	122	63.3	63	55.4	55.3	160.8	160.0
1	263.7	260	70.2	71	119.6	117.9	178.2	180.3
1	152.6	150	69.9	71	69.2	68.0	177.6	180.3
1	155.2	142	65.9	66	70.4	64.4	167.5	167.6
1	157.9	163	63.5	66	71.6	73.9	161.4	167.6
0	151.9	150	66.5	67	68.9	68.0	169.0	170.2
1	242.7	250	75.9	76	110.1	113.4	192.9	193.0
1	181.2	180	66.8	67	82.2	81.6	169.7	170.2
0	179.7	180	64.0	64	81.5	81.6	162.5	162.6
0	348.8	350	64.6	66	158.2	158.8	164.1	167.6
0	108.9	110	61.5	61	49.4	49.9	156.2	154.9
0	212.1	200	66.2	66	96.2	90.7	168.2	167.6
1	300.3	300	68.7	72	136.2	136.1	174.6	182.9
0	132.9	132	63.5	64	60.3	59.9	161.3	162.6
0	112.7	115	62.4	62	51.1	52.2	158.5	157.5
1	172.8	185	67.4	67	78.4	83.9	171.1	170.2
0	197.8	178	64.3	67	89.7	80.7	163.4	170.2
0	98.3	100	59.4	59	44.6	45.4	150.8	149.9
1	220.9	220	73.4	74	100.2	99.8	186.5	188.0
1	173.7	173	70.2	72	78.8	78.5	178.3	182.9
0	182.5	180	63.5	63	82.8	81.6	161.2	160.0
1	161.8	160	63.5	63	73.4	72.6	161.2	160.0
0	134.0	131	63.4	64	60.8	59.4	161.1	162.6
1	140.9	140	71.6	73	63.9	63.5	181.8	185.4
0	199.3	194	65.0	66	90.4	88.0	165.0	167.6
0	111.8	112	59.7	60	50.7	50.8	151.6	152.4
0	155.4	160	61.9	62	70.5	72.6	157.1	157.5
0	211.4	210	67.7	71	95.9	95.3	171.9	180.3
1	203.7	210	67.7	69	92.4	95.3	171.9	175.3
0	109.1	115	60.7	61	49.5	52.2	154.3	154.9
0	139.3	135	65.1	65	63.2	61.2	165.4	165.1
0	149.9	149	62.2	62	68.0	67.6	158.0	157.5
0	177.3	170	60.7	61	80.4	77.1	154.1	154.9
0	148.6	156	63.5	65	67.4	70.8	161.4	165.1
1	177.7	178	68.0	69	80.6	80.7	172.6	175.3
0	184.7	189	66.2	66	83.8	85.7	168.2	167.6
1	201.1	209	69.4	70	91.2	94.8	176.2	177.8
0	191.6	195	64.6	66	86.9	88.5	164.0	167.6
0	176.8	180	62.4	63	80.2	81.6	158.5	160.0
0	168.4	159	62.0	63	76.4	72.1	157.4	160.0
0	114.2	113	62.4	62	51.8	51.3	158.4	157.5
1	187.2	185	68.7	70	84.9	83.9	174.5	177.8
1	133.8	135	64.6	65	60.7	61.2	164.0	165.1
0	132.3	132	63.4	63	60.0	59.9	161.0	160.0
1	172.4	187	72.2	72	78.2	84.8	183.3	182.9
0	196.4	197	66.0	66	89.1	89.4	167.7	167.6
0	133.6	131	64.1	64	60.6	59.4	162.7	162.6
0	113.1	114	58.5	59	51.3	51.7	148.7	149.9
0	158.1	150	64.5	65	71.7	68.0	163.8	165.1
0	126.3	125	62.8	63	57.3	56.7	159.4	160.0
0	153.9	158	63.0	65	69.8	71.7	160.0	165.1
1	148.4	150	69.8	71	67.3	68.0	177.4	180.3
1	201.3	200	66.5	67	91.3	90.7	169.0	170.2
1	238.8	235	69.6	71	108.3	106.6	176.8	180.3
1	196.2	185	74.6	74	89.0	83.9	189.4	188.0
1	151.0	143	65.7	67	68.5	64.9	166.8	170.2
1	192.9	190	70.5	71	87.5	86.2	179.1	180.3
1	163.8	162	65.3	66	74.3	73.5	165.8	167.6
1	152.3	139	67.5	66	69.1	63.0	171.4	167.6
1	139.3	145	65.0	66	63.2	65.8	165.1	167.6
1	151.5	172	64.6	66	68.7	78.0	164.2	167.6
1	162.7	160	64.8	65	73.8	72.6	164.6	165.1
1	139.8	143	60.7	62	63.4	64.9	154.1	157.5
1	183.4	170	69.6	71	83.2	77.1	176.7	180.3
1	237.2	246	65.0	66	107.6	111.6	165.2	167.6
0	162.7	160	61.4	61	73.8	72.6	155.9	154.9
1	290.1	285	70.5	71	131.6	129.3	179.0	180.3
0	173.5	170	64.4	64	78.7	77.1	163.7	162.6
1	106.3	100	60.6	66	48.2	45.4	154.0	167.6
0	137.8	133	68.7	69	62.5	60.3	174.5	175.3
0	112.0	116	63.6	65	50.8	52.6	161.6	165.1
0	101.2	101	60.5	62	45.9	45.8	153.7	157.5
0	143.1	140	65.4	67	64.9	63.5	166.2	170.2
1	225.5	215	69.6	75	102.3	97.5	176.7	190.5
0	161.8	164	62.7	63	73.4	74.4	159.3	160.0
0	149.5	144	64.5	65	67.8	65.3	163.8	165.1
0	180.6	175	56.8	54	81.9	79.4	144.2	137.2
0	204.8	210	65.7	66	92.9	95.3	166.8	167.6
1	231.7	232	65.5	66	105.1	105.2	166.3	167.6
1	167.6	175	61.5	67	76.0	79.4	156.3	170.2
0	142.2	138	61.9	62	64.5	62.6	157.2	157.5
1	174.8	180	67.6	69	79.3	81.6	171.6	175.3
1	100.1	108	65.6	65	45.4	49.0	166.5	165.1
1	310.6	240	71.8	72	140.9	108.9	182.4	182.9
1	153.0	152	63.4	64	69.4	68.9	161.0	162.6
0	178.6	180	61.6	62	81.0	81.6	156.5	157.5
1	170.0	170	68.3	68	77.1	77.1	173.4	172.7
1	330.7	320	68.9	69	150.0	145.1	174.9	175.3
0	115.7	117	60.6	61	52.5	53.1	153.8	154.9
1	153.7	161	65.4	71	69.7	73.0	166.2	180.3
1	198.9	200	69.0	72	90.2	90.7	175.2	182.9
1	168.4	167	58.9	62	76.4	75.7	149.6	157.5
1	191.6	190	66.6	69	86.9	86.2	169.2	175.3
0	119.3	120	55.6	57	54.1	54.4	141.1	144.8
1	162.0	165	67.9	67	73.5	74.8	172.4	170.2
1	163.8	163	65.9	66	74.3	73.9	167.5	167.6
0	122.1	120	63.1	62	55.4	54.4	160.2	157.5
0	130.5	134	62.2	63	59.2	60.8	157.9	160.0
0	148.8	148	62.0	62	67.5	67.1	157.6	157.5
0	187.6	183	58.8	59	85.1	83.0	149.4	149.9
0	201.7	194	66.9	67	91.5	88.0	170.0	170.2
1	226.0	222	70.9	72	102.5	100.7	180.1	182.9
1	143.1	147	65.5	65	64.9	66.7	166.3	165.1
1	243.6	230	69.5	71	110.5	104.3	176.6	180.3
0	186.1	150	68.0	69	84.4	68.0	172.6	175.3
1	137.1	137	63.8	69	62.2	62.1	162.0	175.3
1	138.7	140	68.7	68	62.9	63.5	174.4	172.7
1	176.8	170	68.9	71	80.2	77.1	174.9	180.3
1	139.6	140	72.6	73	63.3	63.5	184.4	185.4
1	161.4	162	69.3	70	73.2	73.5	176.0	177.8
0	205.7	200	62.0	62	93.3	90.7	157.4	157.5
0	213.2	215	63.2	64	96.7	97.5	160.6	162.6
1	146.2	154	66.0	67	66.3	69.9	167.6	170.2
1	365.1	350	72.4	74	165.6	158.8	184.0	188.0
1	181.0	182	67.7	67	82.1	82.6	172.0	170.2
0	185.2	170	64.2	64	84.0	77.1	163.1	162.6
1	253.5	255	64.4	66	115.0	115.7	163.5	167.6
0	180.3	178	63.9	64	81.8	80.7	162.2	162.6
1	145.5	150	65.2	66	66.0	68.0	165.7	167.6
1	195.3	220	74.2	74	88.6	99.8	188.4	188.0
1	136.5	138	68.4	68	61.9	62.6	173.7	172.7
1	169.1	165	60.0	58	76.7	74.8	152.4	147.3
0	182.5	186	62.8	62	82.8	84.4	159.6	157.5
0	313.3	280	61.7	64	142.1	127.0	156.8	162.6
0	108.9	110	62.4	63	49.4	49.9	158.6	160.0
1	175.9	160	65.9	71	79.8	72.6	167.5	180.3
1	152.8	168	71.5	74	69.3	76.2	181.6	188.0
0	172.6	175	65.6	66	78.3	79.4	166.6	167.6
0	222.9	213	66.1	66	101.1	96.6	167.8	167.6
1	145.3	143	64.3	67	65.9	64.9	163.2	170.2
0	172.2	175	63.8	64	78.1	79.4	162.1	162.6
1	203.3	200	72.9	74	92.2	90.7	185.1	188.0
1	302.3	294	67.2	69	137.1	133.4	170.7	175.3
0	115.3	116	60.7	61	52.3	52.6	154.3	154.9
0	138.7	128	60.7	61	62.9	58.1	154.2	154.9
0	175.3	173	65.3	66	79.5	78.5	165.9	167.6
0	132.5	135	62.9	63	60.1	61.2	159.8	160.0
0	126.3	125	63.2	63	57.3	56.7	160.5	160.0
0	157.4	152	64.4	64	71.4	68.9	163.5	162.6
1	155.6	170	70.2	70	70.6	77.1	178.2	177.8
1	134.7	140	69.1	70	61.1	63.5	175.4	177.8
1	141.5	138	63.6	62	64.2	62.6	161.5	157.5
1	129.6	135	63.9	64	58.8	61.2	162.4	162.6
1	173.3	180	66.3	67	78.6	81.6	168.5	170.2
1	149.3	180	68.9	69	67.7	81.6	175.0	175.3
1	256.2	265	69.9	73	116.2	120.2	177.5	185.4
1	128.1	128	63.9	63	58.1	58.1	162.3	160.0
0	132.1	130	65.8	66	59.9	59.0	167.2	167.6
0	232.1	230	65.1	65	105.3	104.3	165.3	165.1
1	229.7	230	68.2	69	104.2	104.3	173.2	175.3
0	123.0	125	63.4	63	55.8	56.7	161.0	160.0
0	164.2	164	65.1	66	74.5	74.4	165.4	167.6
0	190.0	180	64.0	64	86.2	81.6	162.6	162.6
1	172.2	170	68.7	69	78.1	77.1	174.5	175.3
1	211.0	200	68.4	71	95.7	90.7	173.7	180.3
0	176.8	167	61.0	63	80.2	75.7	155.0	160.0
0	121.5	120	56.3	58	55.1	54.4	142.9	147.3
1	157.4	162	70.0	72	71.4	73.5	177.8	182.9
1	155.9	165	70.0	70	70.7	74.8	177.7	177.8
0	153.7	152	60.6	61	69.7	68.9	153.8	154.9
0	132.1	128	62.2	64	59.9	58.1	158.1	162.6
1	273.4	270	74.1	75	124.0	122.5	188.1	190.5
0	172.4	178	60.9	62	78.2	80.7	154.7	157.5
1	187.6	180	67.4	68	85.1	81.6	171.1	172.7
1	205.0	200	75.2	76	93.0	90.7	190.9	193.0
0	166.4	180	60.3	60	75.5	81.6	153.2	152.4
0	143.1	140	69.8	71	64.9	63.5	177.4	180.3
1	181.9	189	69.1	69	82.5	85.7	175.6	175.3
1	216.1	220	67.4	68	98.0	99.8	171.3	172.7
0	211.9	200	64.7	65	96.1	90.7	164.3	165.1
1	185.2	180	68.9	67	84.0	81.6	174.9	170.2
0	180.3	175	63.0	64	81.8	79.4	160.1	162.6
0	180.8	184	66.5	66	82.0	83.5	168.9	167.6
1	203.3	200	70.4	69	92.2	90.7	178.8	175.3
0	152.8	157	63.6	65	69.3	71.2	161.6	165.1
1	186.3	192	69.3	70	84.5	87.1	175.9	177.8
0	127.9	130	63.6	65	58.0	59.0	161.5	165.1
1	147.5	153	61.1	62	66.9	69.4	155.1	157.5
1	125.4	110	66.7	66	56.9	49.9	169.5	167.6
1	181.7	180	65.5	69	82.4	81.6	166.3	175.3
0	186.3	198	62.3	62	84.5	89.8	158.3	157.5
0	125.4	126	60.5	62	56.9	57.2	153.7	157.5
0	167.3	167	59.8	60	75.9	75.7	151.8	152.4
0	140.2	140	63.3	64	63.6	63.5	160.9	162.6
0	163.8	163	64.4	64	74.3	73.9	163.5	162.6
0	194.2	185	63.3	62	88.1	83.9	160.8	157.5
1	171.1	170	64.7	64	77.6	77.1	164.4	162.6
1	142.2	140	67.8	70	64.5	63.5	172.1	177.8
1	139.3	155	71.3	72	63.2	70.3	181.0	182.9
0	197.1	200	64.1	66	89.4	90.7	162.9	167.6
1	212.3	210	67.4	68	96.3	95.3	171.2	172.7
0	226.6	207	67.2	67	102.8	93.9	170.8	170.2
0	153.9	150	60.2	59	69.8	68.0	152.9	149.9
1	223.8	192	67.4	66	101.5	87.1	171.2	167.6
0	162.9	160	63.1	61	73.9	72.6	160.3	154.9
1	200.2	210	69.5	69	90.8	95.3	176.6	175.3
0	151.9	139	65.5	65	68.9	63.0	166.3	165.1
0	149.9	153	62.8	64	68.0	69.4	159.4	162.6
0	179.9	179	61.2	62	81.6	81.2	155.5	157.5
1	167.3	160	66.4	60	75.9	72.6	168.6	152.4
1	209.7	214	66.9	66	95.1	97.1	169.8	167.6
1	165.1	170	68.9	70	74.9	77.1	175.1	177.8
0	281.1	280	63.7	68	127.5	127.0	161.7	172.7
1	205.5	200	60.4	62	93.2	90.7	153.4	157.5
1	326.5	314	74.3	75	148.1	142.4	188.6	190.5
1	121.9	130	69.0	71	55.3	59.0	175.3	180.3
0	150.8	151	60.7	60	68.4	68.5	154.2	152.4
1	177.9	170	67.7	68	80.7	77.1	172.0	172.7
1	176.6	150	64.7	67	80.1	68.0	164.3	170.2
1	139.8	140	63.2	63	63.4	63.5	160.6	160.0
0	236.3	220	62.5	62	107.2	99.8	158.8	157.5
1	146.6	150	68.7	69	66.5	68.0	174.5	175.3
1	121.5	120	71.7	72	55.1	54.4	182.1	182.9
0	142.0	120	63.3	62	64.4	54.4	160.8	157.5
1	147.0	145	64.0	65	66.7	65.8	162.6	165.1
0	181.4	175	62.7	63	82.3	79.4	159.3	160.0
0	235.7	235	65.5	66	106.9	106.6	166.3	167.6
0	313.5	310	60.9	59	142.2	140.6	154.7	149.9
1	192.5	195	70.5	72	87.3	88.5	179.0	182.9
0	158.1	150	61.8	61	71.7	68.0	157.0	154.9
0	190.7	185	60.0	61	86.5	83.9	152.3	154.9
0	123.9	110	63.3	63	56.2	49.9	160.7	160.0
0	125.4	122	67.2	67	56.9	55.3	170.6	170.2
1	177.0	173	69.8	70	80.3	78.5	177.2	177.8
1	302.7	315	73.4	74	137.3	142.9	186.5	188.0
1	171.3	172	71.9	72	77.7	78.0	182.6	182.9
0	97.4	103	60.0	59	44.2	46.7	152.3	149.9
1	156.1	155	70.2	70	70.8	70.3	178.3	177.8
0	133.6	110	62.2	63	60.6	49.9	158.0	160.0
1	178.1	180	70.4	71	80.8	81.6	178.9	180.3
1	183.6	160	70.6	72	83.3	72.6	179.3	182.9
0	177.0	170	66.5	67	80.3	77.1	168.8	170.2
1	167.1	174	65.4	66	75.8	78.9	166.0	167.6
0	251.3	240	62.1	62	114.0	108.9	157.8	157.5
1	233.0	230	69.7	70	105.7	104.3	177.1	177.8
1	182.1	200	69.0	70	82.6	90.7	175.2	177.8
1	246.3	252	71.9	73	111.7	114.3	182.7	185.4
0	166.0	164	65.6	66	75.3	74.4	166.7	167.6
1	178.6	175	66.1	66	81.0	79.4	167.8	167.6
1	141.3	145	66.1	67	64.1	65.8	168.0	170.2
0	268.3	260	64.5	66	121.7	117.9	163.9	167.6
1	148.4	155	64.3	65	67.3	70.3	163.3	165.1
1	190.9	195	67.3	67	86.6	88.5	171.0	170.2
1	205.7	195	75.5	75	93.3	88.5	191.8	190.5
0	143.7	140	60.6	61	65.2	63.5	153.8	154.9
1	132.7	128	66.4	66	60.2	58.1	168.7	167.6
0	177.3	175	64.1	66	80.4	79.4	162.7	167.6
0	147.3	140	66.5	68	66.8	63.5	168.8	172.7
1	231.9	227	69.4	69	105.2	103.0	176.3	175.3
0	127.0	125	61.6	63	57.6	56.7	156.5	160.0
1	204.1	205	69.7	71	92.6	93.0	177.0	180.3
0	132.3	132	67.3	67	60.0	59.9	171.0	170.2
0	111.8	115	62.9	63	50.7	52.2	159.7	160.0
1	134.7	139	64.6	65	61.1	63.0	164.0	165.1
0	211.2	195	63.3	64	95.8	88.5	160.9	162.6
1	150.1	155	65.7	65	68.1	70.3	166.8	165.1
0	181.4	188	61.6	61	82.3	85.3	156.5	154.9
0	148.8	146	62.6	64	67.5	66.2	159.0	162.6
0	101.4	100	59.4	56	46.0	45.4	150.8	142.2
0	157.4	155	62.6	62	71.4	70.3	159.0	157.5
0	136.7	135	62.6	62	62.0	61.2	158.9	157.5
0	122.8	118	58.4	61	55.7	53.5	148.4	154.9
1	201.3	200	70.1	69	91.3	90.7	178.0	175.3
1	220.0	220	72.6	74	99.8	99.8	184.4	188.0
1	169.5	174	65.7	66	76.9	78.9	166.9	167.6
0	150.8	158	61.1	61	68.4	71.7	155.1	154.9
1	169.3	160	68.5	70	76.8	72.6	174.1	177.8
0	133.2	130	61.2	63	60.4	59.0	155.4	160.0
0	142.2	140	59.8	60	64.5	63.5	152.0	152.4
1	184.3	182	68.8	71	83.6	82.6	174.7	180.3
0	133.4	135	65.6	66	60.5	61.2	166.6	167.6
1	133.6	140	65.6	66	60.6	63.5	166.5	167.6
0	132.7	130	62.0	62	60.2	59.0	157.4	157.5
0	172.0	170	66.3	68	78.0	77.1	168.4	172.7
1	187.0	186	66.7	68	84.8	84.4	169.3	172.7
0	141.1	140	61.3	62	64.0	63.5	155.7	157.5
0	222.2	217	65.4	65	100.8	98.4	166.0	165.1
0	123.5	125	67.3	68	56.0	56.7	171.0	172.7
1	164.7	160	67.6	68	74.7	72.6	171.6	172.7
0	166.9	165	59.8	60	75.7	74.8	151.8	152.4
1	225.3	235	72.6	74	102.2	106.6	184.4	188.0
0	340.2	343	64.9	64	154.3	155.6	164.9	162.6
0	131.8	130	65.2	66	59.8	59.0	165.6	167.6
0	171.1	168	63.8	63	77.6	76.2	162.1	160.0
1	214.7	215	67.9	65	97.4	97.5	172.5	165.1
0	181.0	180	64.6	65	82.1	81.6	164.0	165.1
1	120.4	125	65.2	66	54.6	56.7	165.5	167.6
0	117.1	115	60.8	62	53.1	52.2	154.5	157.5
