YEAR	MONTH	F SCALE	FATALITIES	LENGTH (MI)	WIDTH (YD)
1950	5	1	0	2	10
1950	5	1	0	1	200
1950	5	0	0	1	200
1950	5	1	0	2	27
1950	5	1	0	1	100
1950	5	1	0	3.8	50
1950	5	2	0	2	10
1950	5	2	0	18	10
1950	5	1	0	0.1	10
1950	5	2	0	0.1	10
1950	5	2	0	0.2	200
1950	5	1	0	7.3	100
1950	5	1	0	0.7	333
1950	5	3	0	14.9	100
1950	5	0	0	0.1	10
1950	5	0	0	0.1	10
1950	5	1	0	1.5	100
1950	5	0	0	0.2	250
1950	5	2	0	3.6	77
1950	5	1	0	10.7	40
1950	5	2	0	1	33
1950	5	1	0	3	880
1950	5	1	0	1	33
1950	5	1	0	3.4	267
1950	5	1	0	1	27
1950	5	1	0	1	27
1950	5	1	0	0.5	10
1950	5	1	0	0.1	10
1950	6	3	2	2	50
1950	6	0	0	2	200
1950	6	1	0	3.3	10
1950	6	3	0	23.9	67
1950	6	1	0	23.7	10
1950	6	1	0	0.2	10
1950	6	1	0	2	300
1950	6	4	1	17.1	700
1950	6	1	0	2.7	220
1950	6	1	0	0.1	100
1950	6	1	0	0.1	10
1950	6	3	0	2	10
1950	6	2	0	4.1	10
1950	6	1	0	0.2	10
1950	6	3	0	23.7	10
1950	6	1	0	0.2	100
1950	6	2	0	4.6	67
1950	6	3	0	5.6	300
1950	6	1	0	29.9	10
1950	6	0	0	15.8	167
1950	6	0	0	1.9	10
1950	6	0	0	0.1	10
1950	6	1	0	0.5	10
1950	6	2	0	8.4	10
1950	6	2	1	7.8	17
1950	6	4	2	13.1	880
1950	6	0	0	0.1	10
1950	6	3	0	0.1	300
1950	7	2	0	0.1	10
1950	7	1	0	0.1	10
1950	7	2	0	14	10
1950	7	2	0	1	90
1950	7	0	0	0.1	10
1950	7	2	0	12.9	10
1950	7	2	0	0.1	13
1950	7	1	0	1	90
1950	7	1	0	3.8	500
1950	7	2	0	10	10
1950	7	2	0	5	100
1950	7	4	0	10	440
1950	7	1	0	1	33
1950	7	1	0	0.1	10
1950	7	1	0	4.3	200
1950	7	2	0	0.1	200
1950	7	3	0	9.7	300
1950	7	1	0	1.5	440
1950	7	2	0	1.1	100
1950	7	0	0	0.1	10
1950	7	0	0	0.1	10
1950	7	1	0	0.1	10
1950	7	1	0	0.1	10
1950	8	1	0	7.9	100
1950	8	2	0	0.1	10
1950	8	1	0	0.1	10
1950	8	2	0	0.1	10
1950	8	2	0	8.7	10
1950	8	1	0	2	10
1950	8	1	0	5	10
1950	8	1	0	6	10
1950	8	2	0	3.6	200
1950	8	1	0	7.2	10
1950	8	1	0	1	10
1950	8	1	0	0.5	50
1950	8	0	0	0.1	10
1950	9	2	0	6.8	100
1950	9	0	0	0.1	10
1950	9	1	0	22.5	67
1950	10	1	0	15.8	10
1950	10	3	0	2	880
1950	11	3	0	15.9	100
1950	11	2	0	0.1	10
1950	11	1	0	0.1	10
1950	11	1	0	2	37
1950	12	2	1	18.8	50
1950	12	3	2	18	200
1950	12	3	0	7.8	10
1950	12	1	0	9.6	50
1951	1	3	0	16.8	317
1951	1	2	0	5.7	10
1951	2	1	0	0.1	50
1951	2	1	0	0.5	33
1951	2	1	0	4.9	33
1951	2	2	0	43.9	20
1951	2	0	0	0.1	100
1951	2	2	0	112.8	333
1951	2	3	1	0.1	10
1951	2	1	0	0.1	10
1951	2	2	0	0.1	123
1951	2	2	0	0.1	73
1951	3	3	0	38.1	10
1951	3	0	0	0.1	10
1951	3	2	0	2	77
1951	3	1	0	0.5	17
1951	3	2	0	3	400
1951	3	1	0	0.1	20
1951	4	2	0	5.7	127
1951	4	2	0	0.2	100
1951	4	2	0	3.6	33
1951	4	2	0	1.5	17
1951	4	0	0	0.1	10
1951	4	1	0	0.1	10
1951	4	0	0	1	33
1951	4	0	0	1	33
1951	4	3	2	33.5	10
1951	4	0	0	0.1	10
1951	4	1	0	2.5	10
1951	4	1	0	0.1	10
1951	4	0	0	29.2	10
1951	4	1	0	0.1	10
1951	4	0	0	1	10
1951	4	1	0	0.1	10
1951	4	1	0	0.1	10
1951	4	1	0	0.8	200
1951	4	2	0	15.2	10
1951	4	1	0	0.5	400
1951	4	3	0	12.8	440
1951	4	1	0	0.3	50
1951	4	1	0	0.1	10
1951	4	3	0	7.4	200
1951	4	2	0	1.5	200
1951	4	0	0	0.1	10
1951	5	1	0	0.1	10
1951	5	1	0	0.1	10
1951	5	2	0	2.3	150
1951	5	1	0	0.1	10
1951	5	1	0	2.3	10
1951	5	2	0	4.9	33
1951	5	1	0	0.1	10
1951	5	2	0	14.8	100
1951	5	0	0	0.1	10
1951	5	2	0	8	10
1951	5	1	0	0.1	10
1951	5	0	0	0.1	10
1951	5	1	0	0.1	10
1951	5	2	0	0.1	10
1951	5	2	0	0.1	10
1951	5	2	0	0.1	10
1951	5	2	0	0.1	10
1951	5	3	0	0.1	10
1951	5	1	0	0.1	10
1951	5	0	0	0.1	10
1951	5	0	0	0.1	10
1951	5	4	2	2	200
1951	5	1	0	0.1	10
1951	5	1	0	0.1	10
1951	5	1	0	0.1	10
1951	5	1	0	0.1	10
1951	5	2	0	2	67
1951	5	0	0	0.1	220
1951	5	0	0	0.1	10
1951	5	1	0	10.3	10
1951	5	0	0	6.1	10
1951	5	3	0	12.8	900
1951	5	2	0	1	10
1951	5	3	0	0.1	10
1951	5	2	0	0.1	10
1951	5	1	0	0.1	10
1951	5	1	0	0.3	300
1951	5	2	0	9.2	50
1951	5	1	1	0.5	20
1951	5	1	0	0.1	10
1951	5	3	1	4.1	440
1951	5	2	0	0.1	10
1951	5	1	0	0.2	10
1951	5	1	3	0.1	10
1951	5	1	0	0.1	10
1951	5	2	0	19.7	10
1951	5	1	0	2	33
1951	5	1	0	3	10
1951	5	1	0	8.3	10
1951	5	0	0	0.1	10
1951	5	1	0	7.7	10
1951	5	0	0	0.1	10
1951	5	0	0	0.1	10
1951	5	0	0	0.1	10
1951	5	0	0	0.1	10
1951	5	1	0	0.5	17
1951	5	2	0	3	440
1951	6	1	0	0.5	10
1951	6	1	0	11	10
1951	6	3	0	1.5	880
1951	6	0	0	2	10
1951	6	2	0	0.1	10
1951	6	2	0	4.7	217
1951	6	2	0	0.1	10
1951	6	1	0	3	400
1951	6	1	0	0.1	10
1951	6	0	0	0.1	10
1951	6	3	0	44.8	10
1951	6	0	0	0.1	10
1951	6	0	0	0.1	10
1951	6	1	0	9	10
1951	6	1	0	0.1	10
1951	6	1	0	0.1	10
1951	6	3	0	10.4	100
1951	6	0	0	0.1	10
1951	6	2	0	3.6	1760
1951	6	0	0	0.2	33
1951	6	1	0	0.1	10
1951	6	2	0	3.8	450
1951	6	2	0	0.5	100
1951	6	1	0	5.7	33
1951	6	2	0	0.1	10
1951	6	2	0	0.1	100
1951	6	1	0	0.8	600
1951	6	2	0	0.1	10
1951	6	1	0	0.1	10
1951	6	3	0	10.9	173
1951	6	1	0	0.3	200
1951	6	1	0	0.1	10
1951	6	0	0	2	10
1951	6	1	0	3.8	30
1951	6	2	0	4.1	350
1951	6	1	0	1	20
1951	6	0	0	0.1	10
1951	6	1	0	0.1	10
1951	6	0	0	0.5	100
1951	6	1	0	4.9	20
1951	6	2	0	14.5	20
1951	6	0	0	0.1	10
1951	6	0	0	0.7	10
1951	6	0	0	0.1	10
1951	6	0	0	0.1	10
1951	6	2	0	29.9	10
1951	6	1	0	0.5	17
1951	6	4	1	52.6	330
1951	6	1	0	4.7	110
1951	6	0	0	0.1	10
1951	6	2	0	1	467
1951	6	2	0	48.6	10
1951	6	1	0	0.1	10
1951	6	1	0	0.1	10
1951	6	1	0	22.2	10
1951	6	1	0	4.3	10
1951	6	3	0	5.4	1760
1951	6	2	0	0.1	10
1951	6	0	0	0.1	10
1951	6	2	0	1	100
1951	6	2	1	0.1	10
1951	6	1	1	0.1	10
1951	6	1	0	0.1	10
1951	6	2	0	14.2	10
1951	6	2	0	10.4	57
1951	6	2	0	0.8	500
1951	6	1	0	20.2	10
1951	6	1	0	0.1	250
1951	6	1	0	0.1	10
1951	6	4	5	0.8	300
1951	6	1	0	0.1	10
1951	6	1	0	4.7	10
1951	6	1	0	0.1	10
1951	6	3	0	9.6	300
1951	6	3	1	18.2	200
1951	6	2	0	19.7	10
1951	7	2	0	1	20
1951	7	2	0	0.5	50
1951	7	2	0	0.1	100
1951	7	0	0	0.1	10
1951	7	1	0	0.1	10
1951	7	0	0	5.1	10
1951	7	2	0	0.1	10
1951	7	2	0	0.1	10
1951	7	2	0	2.3	100
1951	7	2	0	1	1760
1951	7	1	0	2	440
1951	7	0	0	0.1	10
1951	7	2	0	0.1	100
1951	7	0	0	0.1	100
1951	7	0	0	0.1	100
1951	7	1	0	0.1	10
1951	7	2	0	1	10
1951	7	3	5	11.6	10
1951	7	0	0	0.1	10
1951	7	2	0	0.5	217
1951	7	2	0	7.7	10
1951	7	2	0	0.1	10
1951	7	1	0	0.1	10
1951	8	0	0	0.1	10
1951	8	1	0	0.1	10
1951	8	0	0	0.1	10
1951	8	1	0	0.1	440
1951	8	2	0	0.5	100
1951	8	1	0	5.9	200
1951	8	0	0	12.2	30
1951	8	1	0	2.3	250
1951	8	1	0	0.1	10
1951	8	1	0	0.1	10
1951	8	1	0	0.1	10
1951	8	1	0	2.3	100
1951	8	1	0	0.2	300
1951	8	2	0	28.5	333
1951	8	2	0	0.1	50
1951	8	2	0	9.3	100
1951	8	2	0	4.9	67
1951	8	2	0	43.9	100
1951	8	3	0	0.1	10
1951	8	1	0	0.5	33
1951	8	0	0	0.1	10
1951	8	0	0	0.1	10
1951	8	2	0	3.3	100
1951	8	1	0	5.6	140
1951	8	1	0	0.5	440
1951	8	1	0	0.1	10
1951	8	1	0	0.1	10
1951	9	1	0	0.5	100
1951	9	2	0	0.1	100
1951	9	2	0	2	67
1951	9	3	0	24.4	200
1951	9	0	0	0.8	100
1951	9	4	6	26.4	100
1951	9	4	1	9	100
1951	9	2	1	2.3	440
1951	9	2	0	1	20
1951	10	1	0	2	880
1951	10	2	0	0.1	10
1951	11	1	0	0.1	230
1951	11	1	0	0.3	100
1951	11	2	0	47.4	50
1951	11	3	0	1	27
1951	11	2	0	7.1	250
1951	11	2	0	0.3	400
1951	11	3	1	2	10
1951	11	2	0	0.2	10
1951	11	2	0	0.1	150
1951	11	2	0	1.5	177
1951	11	2	0	1.5	10
1951	11	1	0	0.5	100
1951	12	1	0	0.1	27
1951	12	1	0	0.3	50
1951	12	3	1	21.9	150
1951	12	0	0	0.5	350
1951	12	1	0	0.5	33
1951	12	2	0	0.1	10
1951	12	2	0	0.1	150
1951	12	1	0	2.8	100
1951	12	2	0	0.1	10
1951	12	1	0	2	900
1952	1	2	0	0.5	400
1952	1	2	0	8.7	350
1952	1	1	0	0.1	10
1952	1	1	0	0.1	10
1952	1	1	0	0.1	10
1952	1	1	0	3.8	400
1952	1	1	0	0.5	17
1952	1	1	0	2	100
1952	1	2	0	1	100
1952	1	2	0	1.5	33
1952	1	1	0	0.1	400
1952	1	1	0	0.1	33
1952	2	2	0	1	67
1952	2	0	0	1	133
1952	2	2	0	0.3	10
1952	2	2	0	0.3	300
1952	2	2	0	6.8	100
1952	2	0	0	0.1	10
1952	2	1	0	0.3	200
1952	2	3	1	5.6	100
1952	2	1	0	6	400
1952	2	1	0	0.2	400
1952	2	3	1	0.1	200
1952	2	1	0	0.1	10
1952	2	3	0	7.4	350
1952	2	1	0	0.1	10
1952	2	4	3	12.7	100
1952	2	3	0	5.1	400
1952	2	2	0	0.5	200
1952	2	2	0	1.5	73
1952	2	1	0	1.5	17
1952	2	1	3	0.1	100
1952	2	4	2	2	300
1952	2	2	0	1	400
1952	2	3	0	3.3	400
1952	2	2	0	15.3	587
1952	2	2	0	7.8	77
1952	2	2	0	9.4	300
1952	2	2	0	0.2	17
1952	3	0	0	0.2	10
1952	3	1	0	0.6	50
1952	3	3	0	3.3	440
1952	3	3	0	4.3	400
1952	3	3	0	50.9	650
1952	3	1	0	1	150
1952	3	1	0	0.1	33
1952	3	0	0	0.5	20
1952	3	2	0	18.4	100
1952	3	1	0	3	10
1952	3	2	0	4.9	100
1952	3	2	0	6.2	500
1952	3	4	7	13	833
1952	3	3	0	17.7	440
1952	3	4	50	14.6	1760
1952	3	2	0	0.1	10
1952	3	4	2	7.6	10
1952	3	3	9	16.2	10
1952	3	2	5	13.3	417
1952	3	0	1	0.1	417
1952	3	3	0	17.6	600
1952	3	4	29	13.1	880
1952	3	3	0	28.5	440
1952	3	4	2	4.7	200
1952	3	4	4	0.1	880
1952	3	3	3	51.8	880
1952	3	3	1	9.4	200
1952	3	3	1	39.7	880
1952	3	4	17	6.5	880
1952	3	3	10	18.1	1000
1952	3	4	4	2	200
1952	3	0	0	0.1	20
1952	3	4	16	29.6	427
1952	3	2	2	0.1	150
1952	3	3	0	0.1	100
1952	3	2	1	0.1	150
1952	3	3	0	5.1	177
1952	3	4	38	46.8	177
1952	3	2	0	0.3	500
1952	3	3	0	2.7	10
1952	3	2	3	0.5	40
1952	3	1	0	0.3	10
1952	3	4	4	21.6	100
1952	4	2	0	4.9	200
1952	4	1	0	2	67
1952	4	3	0	36.7	100
1952	4	2	4	20.4	67
1952	4	2	0	6.4	20
1952	4	1	0	0.2	200
1952	4	1	0	0.1	20
1952	4	2	0	6.9	300
1952	4	2	0	1	150
1952	4	2	0	4.9	10
1952	4	1	0	1	50
1952	4	3	0	17.5	10
1952	4	0	0	0.1	10
1952	4	1	0	1	50
1952	4	0	0	0.3	33
1952	4	1	0	1	10
1952	4	1	0	0.2	33
1952	4	1	0	0.1	10
1952	4	0	0	45.9	100
1952	4	1	0	0.1	10
1952	4	1	0	0.8	200
1952	4	1	0	0.1	20
1952	4	0	0	1.5	440
1952	4	0	0	1.5	440
1952	4	0	0	1.5	440
1952	4	4	0	2.3	200
1952	4	0	0	0.3	50
1952	4	0	0	0.1	10
1952	4	1	0	0.3	150
1952	4	1	0	0.1	100
1952	4	0	0	0.5	20
1952	4	0	0	0.1	10
1952	4	1	0	1	20
1952	4	2	0	13.7	200
1952	4	3	0	0.5	100
1952	4	0	0	0.1	10
1952	4	0	0	0.1	10
1952	5	2	0	4.9	200
1952	5	1	0	1.5	400
1952	5	1	0	2	100
1952	5	2	0	2.5	200
1952	5	1	0	0.1	10
1952	5	1	0	15.6	13
1952	5	1	0	0.2	50
1952	5	1	0	0.2	50
1952	5	1	0	0.2	50
1952	5	2	0	0.1	10
1952	5	3	2	22.7	83
1952	5	3	0	4.3	200
1952	5	1	0	0.1	10
1952	5	3	0	7.4	150
1952	5	0	0	1	33
1952	5	2	0	1.5	33
1952	5	0	0	0.1	10
1952	5	2	0	0.2	100
1952	5	4	0	26.9	440
1952	5	2	0	1.3	440
1952	5	1	0	0.1	10
1952	5	1	0	0.1	10
1952	5	1	0	16.9	100
1952	5	2	0	0.3	150
1952	5	2	0	0.1	200
1952	5	0	0	0.5	33
1952	5	2	0	0.1	17
1952	5	0	0	0.1	10
1952	5	1	0	7.1	50
1952	5	1	0	0.1	10
1952	5	1	0	0.1	200
1952	5	1	0	0.1	10
1952	5	0	0	2	33
1952	5	2	0	0.1	10
1952	6	1	0	0.1	10
1952	6	2	0	2.3	100
1952	6	1	0	0.1	10
1952	6	2	0	0.1	10
1952	6	1	0	13.8	33
1952	6	3	0	8.8	300
1952	6	2	0	10.1	10
1952	6	1	0	2	167
1952	6	1	0	2.5	10
1952	6	1	0	0.1	10
1952	6	3	0	1.7	10
1952	6	1	0	1	10
1952	6	0	0	0.1	10
1952	6	2	0	3.3	60
1952	6	0	0	0.1	10
1952	6	1	0	0.3	440
1952	6	2	0	24.9	10
1952	6	2	0	8.4	220
1952	6	4	0	24.1	400
1952	6	0	0	2	43
1952	6	2	0	104.8	220
1952	6	3	2	18.2	100
1952	6	0	0	0.1	10
1952	6	2	0	70.9	267
1952	6	2	0	12	10
1952	6	2	0	7	10
1952	6	2	0	2.7	10
1952	6	2	0	1.9	100
1952	6	1	0	0.1	10
1952	6	0	0	1	100
1952	6	1	0	0.1	10
1952	6	1	0	0.1	10
1952	6	2	0	0.1	10
1952	6	1	0	0.3	10
1952	7	3	0	0.5	10
1952	7	2	0	9.7	10
1952	7	4	1	48	150
1952	7	1	0	4.1	217
1952	7	1	0	0.1	10
1952	7	1	0	11.9	10
1952	7	0	0	0.1	10
1952	7	2	0	0.1	10
1952	7	1	0	3.6	50
1952	7	2	0	0.1	10
1952	7	1	0	27.6	10
1952	7	1	0	1	10
1952	7	1	0	0.1	10
1952	7	2	0	1.1	50
1952	7	2	0	1.1	50
1952	7	1	0	0.1	30
1952	7	2	0	9.4	333
1952	7	1	0	0.2	10
1952	7	1	0	0.1	10
1952	7	2	0	5.6	27
1952	7	3	0	55.5	10
1952	7	3	1	16.4	10
1952	7	2	0	0.1	10
1952	7	2	0	0.1	10
1952	7	2	0	7.3	10
1952	7	2	0	1.5	133
1952	7	1	0	0.1	10
1952	8	2	0	0.3	200
1952	8	3	0	4.7	10
1952	8	1	0	0.1	10
1952	8	1	0	39.3	100
1952	8	1	0	0.7	50
1952	8	3	0	44.4	1300
1952	8	4	0	26.7	110
1952	8	2	0	1.5	100
1952	8	2	0	5.1	77
1952	8	1	0	0.2	17
1952	8	1	0	0.5	30
1952	8	2	1	1.3	300
1952	8	1	0	13.3	10
1952	8	1	0	0.1	10
1952	8	1	0	2	100
1952	8	1	0	0.1	70
1952	9	3	0	1	50
1952	11	0	0	0.2	200
1952	11	3	0	21.6	600
1952	11	1	0	0.1	10
1952	11	0	0	0.1	50
1952	11	2	0	39.2	100
1952	11	2	0	1	50
1952	12	2	0	13.3	100
1952	12	3	0	35	880
1952	12	0	0	0.1	10
1953	1	2	0	4.5	100
1953	1	1	0	0.5	167
1953	1	2	0	3	867
1953	1	2	0	9.6	150
1953	1	1	0	0.5	10
1953	1	2	0	9.2	100
1953	1	1	0	0.1	10
1953	1	3	0	1.5	50
1953	1	1	0	0.1	10
1953	1	2	0	0.5	500
1953	1	1	0	0.4	33
1953	1	1	0	8.3	150
1953	1	2	0	45.2	100
1953	1	3	0	6.5	300
1953	2	3	2	15.6	400
1953	2	1	0	0.1	10
1953	2	1	0	0.1	10
1953	2	1	0	1.3	17
1953	2	1	0	0.5	10
1953	2	1	0	4.7	67
1953	2	1	0	0.1	10
1953	2	1	0	0.1	33
1953	2	2	0	1	100
1953	2	1	0	16.5	100
1953	2	2	0	14.2	880
1953	2	1	0	21.3	100
1953	2	3	1	0.1	20
1953	2	2	0	0.5	300
1953	2	2	0	0.7	100
1953	2	2	0	7.1	220
1953	3	2	0	2	80
1953	3	4	17	13.9	50
1953	3	2	0	23.6	100
1953	3	3	1	1	100
1953	3	2	0	2	100
1953	3	2	0	1.3	250
1953	3	3	2	45.3	200
1953	3	2	0	0.1	100
1953	3	3	0	40.1	880
1953	3	2	0	36.2	333
1953	3	3	0	12.2	880
1953	3	2	1	3.3	10
1953	3	1	0	0.2	10
1953	3	2	0	24.8	33
1953	3	2	0	24	100
1953	3	1	0	0.2	10
1953	3	1	0	0.2	10
1953	3	3	0	24.7	100
1953	3	2	0	42.3	200
1953	3	2	0	0.3	600
1953	3	0	0	0.1	100
1953	3	1	0	0.1	100
1953	3	3	0	30.1	27
1953	3	2	0	0.1	10
1953	3	2	0	1.9	33
1953	3	1	0	3.3	27
1953	3	1	0	0.1	10
1953	3	1	0	10.9	600
1953	3	1	0	9	10
1953	3	3	0	31.8	400
1953	3	2	1	0.1	10
1953	3	2	0	11.7	100
1953	3	2	2	234.7	200
1953	3	1	0	101.3	10
1953	3	2	0	30.1	100
1953	3	2	0	1	200
1953	3	1	0	1	100
1953	3	0	0	16.1	10
1953	3	1	0	0.2	10
1953	3	1	0	3	10
1953	4	0	0	0.1	10
1953	4	2	0	0.1	100
1953	4	2	0	0.1	10
1953	4	3	0	0.5	37
1953	4	1	0	0.4	70
1953	4	2	0	6.5	30
1953	4	3	3	156.7	750
1953	4	1	0	0.5	100
1953	4	2	0	0.1	10
1953	4	1	0	2	10
1953	4	1	0	0.1	10
1953	4	2	0	16.2	440
1953	4	2	0	0.3	23
1953	4	1	0	2	33
1953	4	1	0	0.5	200
1953	4	1	0	1	300
1953	4	1	0	1.5	300
1953	4	1	0	0.5	150
1953	4	2	0	2	100
1953	4	3	8	39.8	400
1953	4	2	0	1	200
1953	4	2	0	0.2	700
1953	4	2	1	1.5	300
1953	4	3	0	0.1	880
1953	4	2	0	1	200
1953	4	1	0	0.1	10
1953	4	2	1	0.8	17
1953	4	2	0	1	100
1953	4	2	0	96.7	30
1953	4	1	0	0.1	10
1953	4	2	0	0.1	10
1953	4	0	0	0.1	27
1953	4	1	0	0.1	100
1953	4	0	0	0.9	30
1953	4	3	0	0.5	200
1953	4	1	0	0.1	10
1953	4	3	1	4.9	200
1953	4	4	2	1	1760
1953	4	2	0	11.5	200
1953	4	2	0	0.3	20
1953	4	1	0	1	100
1953	4	4	18	1	333
1953	4	2	1	0.5	10
1953	4	3	1	2	10
1953	4	2	0	5.6	200
1953	4	0	0	1	220
1953	4	1	0	0.1	10
1953	5	2	0	1.5	100
1953	5	4	7	12.1	440
1953	5	1	0	0.1	10
1953	5	4	2	0.1	100
1953	5	2	0	0.8	100
1953	5	4	4	4.2	33
1953	5	1	0	1	100
1953	5	2	0	2	100
1953	5	2	0	1.5	200
1953	5	2	0	8.8	20
1953	5	1	0	6.2	100
1953	5	2	0	9.6	100
1953	5	1	0	0.2	67
1953	5	0	0	0.1	10
1953	5	1	0	1.9	440
1953	5	1	0	6.8	97
1953	5	1	0	1.5	10
1953	5	3	0	13.5	10
1953	5	3	5	46.9	880
1953	5	2	0	1.5	10
1953	5	1	0	3.6	440
1953	5	1	0	0.1	10
1953	5	1	0	0.1	17
1953	5	1	0	0.1	17
1953	5	1	0	0.1	10
1953	5	1	0	42.5	10
1953	5	2	0	38.8	10
1953	5	3	0	52.2	10
1953	5	1	0	6.9	440
1953	5	1	0	0.5	200
1953	5	1	0	9.7	10
1953	5	2	0	2.3	200
1953	5	0	0	0.1	33
1953	5	1	0	0.2	10
1953	5	4	0	6.4	10
1953	5	2	0	17	440
1953	5	4	0	26.6	10
1953	5	2	0	0.1	10
1953	5	2	6	6.9	67
1953	5	4	2	162	100
1953	5	3	0	6.6	400
1953	5	2	4	105.7	100
1953	5	4	13	9.9	880
1953	5	1	0	0.1	10
1953	5	5	114	20.9	583
1953	5	1	0	2	33
1953	5	2	0	9.5	267
1953	5	1	0	0.1	10
1953	5	2	0	18.7	10
1953	5	2	0	21.7	150
1953	5	3	1	5.2	10
1953	5	1	0	2.5	220
1953	5	0	0	2	50
1953	5	2	0	28.5	200
1953	5	2	0	22.5	100
1953	5	1	0	5.9	10
1953	5	3	0	41.6	100
1953	5	0	0	4.5	10
1953	5	2	0	6.4	10
1953	5	2	0	1	880
1953	5	2	0	0.5	33
1953	5	1	0	2	67
1953	5	0	0	0.1	10
1953	5	1	0	0.1	10
1953	5	2	0	2	10
1953	5	0	0	0.1	17
1953	5	3	1	116.1	400
1953	5	3	0	38.6	400
1953	5	4	2	10	1760
1953	5	1	0	0.5	27
1953	5	1	0	0.1	500
1953	5	3	0	9.3	400
1953	5	1	0	1	200
1953	5	1	0	0.1	10
1953	5	1	0	0.1	10
1953	5	2	0	0.1	10
1953	5	1	0	0.1	10
1953	5	2	0	38.2	433
1953	5	0	0	20.6	10
1953	5	1	0	0.1	50
1953	5	1	0	0.2	10
1953	5	2	0	0.1	10
1953	5	2	0	0.5	33
1953	5	5	2	14.8	600
1953	5	2	0	0.1	10
1953	5	1	0	0.1	10
1953	5	2	0	1.9	10
1953	5	1	0	0.1	10
1953	5	2	0	3.6	100
1953	5	0	0	0.1	20
1953	5	2	0	5.4	10
1953	5	2	0	1.9	10
1953	5	1	0	4.3	200
1953	5	1	0	0.1	10
1953	6	1	0	3	67
1953	6	2	0	80	10
1953	6	2	0	15	10
1953	6	2	0	5.9	10
1953	6	1	0	0.1	10
1953	6	0	0	0.1	10
1953	6	0	0	8	147
1953	6	0	0	0.1	10
1953	6	0	0	1	50
1953	6	1	0	0.4	100
1953	6	0	0	0.1	27
1953	6	0	0	0.1	250
1953	6	0	0	0.1	10
1953	6	2	0	5.6	10
1953	6	3	0	9.8	10
1953	6	1	0	2	50
1953	6	3	0	16.9	10
1953	6	2	0	0.1	10
1953	6	1	0	0.2	33
1953	6	0	0	0.1	10
1953	6	1	0	0.1	10
1953	6	2	0	0.1	10
1953	6	0	0	10.9	10
1953	6	1	0	0.1	10
1953	6	1	0	0.1	10
1953	6	2	0	6.6	100
1953	6	2	0	6.6	10
1953	6	0	0	4.1	10
1953	6	1	0	22.7	10
1953	6	4	11	15	440
1953	6	0	0	0.1	10
1953	6	0	0	0.1	10
1953	6	0	0	0.1	10
1953	6	2	0	20.1	10
1953	6	2	0	6.9	10
