ARRIVAL TIME	INTERARRIVAL TIME	DATA (BYTES)
2427	11	512
2427	0	0
2427	0	3
2429	2	512
2431	2	212
2431	0	0
2432	1	0
2433	1	512
2437	4	32
2441	4	15
2446	5	34
2468	22	512
2468	0	512
2471	3	0
2472	1	0
2472	0	512
2474	2	512
2475	1	0
2475	0	512
2492	17	0
2493	1	0
2493	0	0
2494	1	256
2495	1	512
2499	4	0
2506	7	0
2507	1	0
2508	1	3
2510	2	512
2511	1	512
2511	0	512
2513	2	0
2515	2	512
2522	7	0
2524	2	212
2540	16	0
2542	2	512
2542	0	15
2551	9	0
2554	3	256
2557	3	0
2560	3	36
2565	5	0
2568	3	0
2568	0	0
2569	1	212
2572	3	0
2575	3	0
2576	1	5
2576	0	0
2577	1	5
2578	1	0
2578	0	0
2580	2	5
2580	0	512
2580	0	15
2581	1	15
2582	1	0
2583	1	5
2583	0	0
2585	2	212
2593	8	512
2594	1	0
2596	2	512
2597	1	0
2600	3	512
2600	0	38
2600	0	46
2616	16	0
2617	1	512
2619	2	512
2621	2	0
2624	3	0
2625	1	512
2626	1	512
2656	30	0
2657	1	3
2658	1	256
2671	13	512
2675	4	0
2678	3	334
2680	2	512
2681	1	512
2682	1	5
2683	1	512
2683	0	512
2685	2	512
2687	2	35
2688	1	33
2689	1	46
2690	1	0
2692	2	15
2695	3	512
2697	2	8
2698	1	512
2698	0	0
2698	0	0
2701	3	0
2702	1	156
2703	1	37
2708	5	33
2728	20	0
2731	3	512
2737	6	0
2740	3	212
2749	9	0
2752	3	0
2752	0	0
2763	11	0
2765	2	256
2766	1	0
2770	4	1
2780	10	0
2781	1	47
2783	2	512
2788	5	5
2796	8	512
2797	1	512
2798	1	512
2799	1	512
2807	8	41
2814	7	6
2816	2	1
2818	2	0
2828	10	0
2829	1	256
2830	1	256
2832	2	0
2834	2	512
2855	21	512
2856	1	110
2859	3	0
2861	2	512
2870	9	0
2873	3	47
2874	1	0
2877	3	0
2879	2	512
2884	5	19
2884	0	15
2885	1	15
2891	6	512
2892	1	0
2893	1	0
2894	1	512
2894	0	0
2895	1	0
2896	1	512
2897	1	472
2897	0	256
2898	1	511
2903	5	0
2905	2	212
2913	8	0
2915	2	212
2919	4	0
2919	0	0
2920	1	512
2920	0	0
2923	3	0
2924	1	53
2926	2	512
2926	0	214
2928	2	0
2932	4	0
2933	1	512
2936	3	512
2937	1	512
2941	4	49
2956	15	45
2959	3	512
2960	1	512
2964	4	512
2965	1	512
2966	1	512
2966	0	0
2981	15	0
2983	2	256
2985	2	0
2988	3	39
3029	41	512
3030	1	0
3030	0	42
3037	7	512
3038	1	512
3047	9	0
3064	17	0
3065	1	212
3069	4	5
3073	4	15
3074	1	5
3076	2	0
3077	1	35
3078	1	0
3085	7	6
3089	4	0
3093	4	0
3111	18	512
3112	1	192
3123	11	0
3138	15	0
3139	1	0
3139	0	0
3154	15	0
3156	2	256
3160	4	512
3162	2	512
3163	1	0
3165	2	8
3166	1	256
3166	0	512
3167	1	512
3168	1	512
3169	1	0
3170	1	0
3170	0	0
3173	3	24
3174	1	6
3183	9	0
3183	0	0
3184	1	512
3184	0	15
3194	10	50
3203	9	0
3205	2	512
3205	0	0
3207	2	512
3212	5	0
3214	2	512
3221	7	0
3227	6	38
3228	1	0
3231	3	0
3234	3	0
3235	1	512
3247	12	0
3253	6	0
3273	20	15
3276	3	39
3277	1	0
3279	2	0
3279	0	212
3291	12	15
3296	5	0
3299	3	256
3301	2	35
3309	8	0
3310	1	0
3311	1	42
3312	1	0
3317	5	256
3323	6	0
3336	13	0
3351	15	40
3358	7	0
3359	1	256
3367	8	0
3367	0	0
3391	24	15
3394	3	39
3396	2	0
3398	2	512
3399	1	512
3400	1	0
3401	1	212
3415	14	0
3415	0	0
3418	3	212
3430	12	47
3440	10	39
3441	1	0
3443	2	15
3474	31	0
3476	2	256
3487	11	0
3489	2	256
3490	1	512
3491	1	0
3496	5	0
3503	7	0
3505	2	0
3506	1	512
3507	1	512
3517	10	0
3520	3	212
3532	12	37
3540	8	106
3556	16	45
3566	10	0
3576	10	0
3577	1	0
3580	3	212
3581	1	512
3595	14	0
3596	1	0
3599	3	0
3613	14	0
3614	1	212
3616	2	39
3624	8	0
3631	7	0
3633	2	256
3641	8	0
3643	2	0
3686	43	0
3691	5	512
3691	0	8
3700	9	34
3713	13	35
3717	4	0
3719	2	0
3720	1	0
3729	9	212
3730	1	0
3731	1	24
3732	1	512
3734	2	1
3746	12	0
3764	18	0
3766	2	0
3767	1	512
3767	0	512
3767	0	0
3768	1	0
3770	2	512
3770	0	0
3770	0	256
3776	6	512
3776	0	0
3781	5	0
3784	3	256
3790	6	0
3793	3	512
3793	0	512
3803	10	512
3804	1	0
3813	9	0
3819	6	0
3819	0	0
3821	2	512
3832	11	0
3834	2	15
3836	2	0
3840	4	512
3844	4	6
3858	14	512
3859	1	5
3861	2	512
3870	9	512
3870	0	41
3874	4	512
3889	15	0
3895	6	0
3895	0	35
3896	1	0
3897	1	256
3897	0	0
3907	10	0
3915	8	0
3916	1	46
3918	2	212
3920	2	0
3921	1	0
3923	2	0
3927	4	0
3930	3	0
3939	9	0
3943	4	512
3949	6	0
3950	1	212
3956	6	0
3957	1	512
3965	8	0
3965	0	0
3966	1	0
3969	3	256
3996	27	6
4017	21	0
4018	1	0
4019	1	256
4062	43	0
4065	3	512
4065	0	0
4066	1	512
4066	0	512
4093	27	0
4095	2	212
4101	6	0
4102	1	0
4107	5	0
4109	2	0
4110	1	0
4111	1	212
4137	26	0
4139	2	256
4142	3	0
4142	0	0
4144	2	512
4146	2	512
4167	21	0
4168	1	0
4169	1	256
4174	5	0
4177	3	212
4186	9	42
4203	17	1
4204	1	58
4219	15	85
4239	20	512
4261	22	6
4276	15	0
4285	9	0
4286	1	15
4287	1	512
4288	1	0
4296	8	0
4300	4	256
4326	26	0
4329	3	256
4330	1	0
4337	7	0
4340	3	512
4344	4	50
4348	4	0
4350	2	0
4354	4	0
4359	5	43
4366	7	0
4379	13	0
4379	0	13
4393	14	0
4396	3	5
4399	3	0
4400	1	0
4408	8	0
4419	11	29
4431	12	0
4432	1	256
4447	15	0
4449	2	512
4450	1	512
4450	0	16
4451	1	212
4452	1	0
4454	2	512
4460	6	0
4461	1	0
4462	1	512
4463	1	256
4469	6	85
4471	2	512
4471	0	93
4472	1	0
4481	9	0
4482	1	3
4484	2	0
4490	6	512
4490	0	0
4491	1	0
4504	13	512
4518	14	512
4519	1	512
4520	1	512
4520	0	512
4521	1	512
4521	0	199
4528	7	0
4540	12	512
4541	1	512
4542	1	512
4542	0	90
4558	16	0
4559	1	536
4560	1	256
4563	3	0
4564	1	0
4565	1	85
4566	1	0
4567	1	512
4570	3	947
4573	3	0
4607	34	0
4613	6	0
4614	1	256
4618	4	5
4620	2	0
4621	1	1
4624	3	3
4626	2	512
4627	1	150
4634	7	0
4636	2	512
4647	11	0
4654	7	0
4655	1	3
4662	7	512
4663	1	512
4663	0	245
4670	7	0
4671	1	3
4671	0	0
4680	9	0
4683	3	0
4683	0	38
4684	1	0
4685	1	43
4685	0	42
4686	1	42
4687	1	24
4687	0	43
4688	1	49
4688	0	60
4695	7	0
4704	9	512
4705	1	512
4705	0	5
4705	0	107
4706	1	5
4708	2	5
4712	4	0
4712	0	512
4712	0	512
4713	1	512
4713	0	127
4714	1	512
4715	1	102
4715	0	0
4719	4	43
4719	0	212
4720	1	512
4721	1	0
4721	0	123
4722	1	4
4724	2	6
4730	6	512
4730	0	87
4730	0	5
4738	8	0
4740	2	0
4741	1	512
4741	0	15
4742	1	212
4743	1	512
4743	0	1
4746	3	256
4747	1	236
4750	3	536
4750	0	42
4751	1	38
4752	1	536
4752	0	0
4753	1	8
4753	0	0
4755	2	512
4755	0	512
4756	1	0
4758	2	512
4759	1	0
4760	1	3
4762	2	0
4764	2	512
4766	2	0
4767	1	0
4768	1	512
4768	0	37
4771	3	512
4773	2	0
4775	2	256
4781	6	15
4782	1	0
4783	1	212
4785	2	0
4786	1	0
4787	1	512
4789	2	0
4790	1	0
4790	0	0
4791	1	3
4794	3	0
4795	1	3
4796	1	42
4802	6	38
4805	3	5
4813	8	0
4819	6	512
4820	1	512
4820	0	0
4820	0	15
4820	0	512
4821	1	512
4822	1	512
4822	0	512
4823	1	512
4824	1	512
4824	0	0
4826	2	47
4830	4	512
4830	0	5
4831	1	512
4831	0	0
4831	0	5
4832	1	56
4832	0	43
4834	2	512
4834	0	512
4834	0	0
4834	0	512
4836	2	512
4840	4	512
4842	2	512
4843	1	512
4843	0	469
4843	0	38
4846	3	0
4847	1	3
4852	5	0
4853	1	0
4854	1	3
4854	0	512
4855	1	0
4855	0	512
4856	1	0
4858	2	512
4859	1	0
4860	1	512
4860	0	512
4868	8	512
4868	0	512
4869	1	512
4869	0	512
4870	1	512
4871	1	512
4871	0	273
4872	1	49
4873	1	0
4873	0	0
4874	1	0
4874	0	3
4874	0	512
4881	7	0
4884	3	0
4885	1	0
4888	3	536
4889	1	0
4890	1	5
4890	0	0
4891	1	536
4895	4	512
4895	0	536
4895	0	15
4896	1	512
4896	0	0
4897	1	512
4897	0	0
4897	0	42
4897	0	0
4898	1	0
4899	1	0
4900	1	3
4901	1	512
4902	1	0
4903	1	512
4903	0	37
4904	1	0
4906	2	512
4918	12	0
4919	1	512
4920	1	512
4921	1	512
4921	0	0
4922	1	512
4922	0	512
4923	1	512
4923	0	512
4923	0	256
4924	1	125
4930	6	13
4933	3	0
4935	2	512
4937	2	512
4938	1	512
4939	1	0
4940	1	512
4943	3	512
4944	1	6
4947	3	35
4950	3	0
4954	4	5
4957	3	0
4958	1	512
4958	0	102
4958	0	0
4960	2	512
4962	2	512
4962	0	512
4963	1	0
4964	1	212
4966	2	0
4976	10	0
4977	1	0
4978	1	256
4978	0	5
4979	1	0
4980	1	0
4981	1	15
4981	0	0
4983	2	3
4985	2	512
4985	0	512
4986	1	512
4986	0	512
4987	1	512
4989	2	161
4990	1	34
4992	2	536
4992	0	34
4993	1	161
4993	0	0
4996	3	5
4997	1	163
4997	0	536
4998	1	0
5000	2	0
5003	3	0
5004	1	512
5004	0	512
5005	1	0
5008	3	39
5010	2	0
5011	1	512
5013	2	0
5013	0	512
5014	1	0
5015	1	512
5015	0	512
5016	1	512
5017	1	3
5017	0	5
5018	1	0
5019	1	0
5022	3	0
5024	2	0
5029	5	512
5029	0	0
5037	8	512
5038	1	512
5045	7	512
5047	2	512
5047	0	0
5048	1	512
5049	1	0
5051	2	0
5052	1	512
5052	0	512
5053	1	512
5053	0	254
5058	5	0
5059	1	3
5061	2	0
5062	1	256
5062	0	256
5063	1	0
5066	3	56
5067	1	512
5067	0	0
5068	1	0
5069	1	512
5069	0	185
5069	0	0
5069	0	0
5071	2	0
5073	2	0
5074	1	40
5076	2	0
5079	3	512
5079	0	15
5082	3	40
5085	3	536
5086	1	15
5090	4	0
5101	11	15
5102	1	0
5103	1	3
5104	1	0
5106	2	81
5107	1	35
5107	0	0
5108	1	256
5109	1	512
5109	0	512
5110	1	512
5110	0	224
5111	1	5
5113	2	0
5115	2	27
5115	0	406
5116	1	5
5119	3	0
5121	2	0
5123	2	0
5125	2	0
5125	0	0
5126	1	0
5128	2	0
5129	1	512
5129	0	168
5130	1	512
5130	0	0
5130	0	0
5131	1	512
5132	1	512
5132	0	0
5133	1	3
5135	2	0
5137	2	0
5138	1	0
5138	0	123
5141	3	0
5147	6	0
5148	1	40
5151	3	33
5152	1	512
5153	1	15
5154	1	512
5155	1	185
5155	0	0
5156	1	0
5157	1	512
5157	0	512
5158	1	512
5159	1	0
5160	1	52
5167	7	0
5176	9	41
5177	1	0
5178	1	0
5179	1	0
5180	1	512
5183	3	0
5185	2	0
5185	0	0
5185	0	3
5187	2	0
5197	10	5
5201	4	15
5211	10	512
5212	1	0
5213	1	0
5214	1	47
5215	1	0
5216	1	212
5217	1	212
5220	3	3
5232	12	42
5234	2	49
5235	1	0
5236	1	256
5241	5	512
5241	0	49
5243	2	1
5243	0	0
5245	2	0
5245	0	256
5246	1	212
5247	1	5
5249	2	52
5250	1	512
5250	0	284
5253	3	0
5254	1	3
5255	1	0
5257	2	512
5260	3	5
5260	0	0
5261	1	50
5261	0	5
5261	0	5
5262	1	498
5262	0	15
5263	1	0
5264	1	0
5264	0	42
5265	1	8
5266	1	498
5268	2	5
5270	2	0
5270	0	0
5271	1	40
5272	1	512
5273	1	512
5274	1	512
5276	2	512
5277	1	512
5278	1	512
5278	0	512
5279	1	0
5279	0	512
5280	1	512
5280	0	512
5280	0	0
5281	1	512
5281	0	117
5282	1	512
5282	0	0
5282	0	0
5283	1	512
5283	0	512
5284	1	512
5284	0	512
5284	0	0
5284	0	0
5286	2	512
5287	1	512
5287	0	0
5287	0	512
5288	1	512
5288	0	512
5288	0	0
5288	0	15
5289	1	0
5290	1	0
5292	2	35
5294	2	123
5296	2	5
5297	1	5
5302	5	5
5303	1	0
5305	2	406
5317	12	512
5318	1	512
5318	0	61
5322	4	434
5324	2	0
5330	6	0
5331	1	0
5332	1	3
5338	6	0
5342	4	3
5346	4	13
5347	1	37
5350	3	39
5352	2	0
5354	2	5
5357	3	0
5363	6	0
5366	3	0
5368	2	512
5369	1	512
5370	1	508
5375	5	0
5378	3	0
5378	0	256
5380	2	0
5380	0	0
5381	1	0
5383	2	0
5388	5	512
5388	0	512
5391	3	0
5392	1	3
5394	2	0
5395	1	212
5412	17	0
5413	1	512
5414	1	512
5414	0	512
5415	1	512
5424	9	0
5436	12	0
5440	4	5
5444	4	60
5446	2	0
5447	1	0
5447	0	3
5449	2	512
5450	1	512
5450	0	0
5453	3	0
5454	1	3
5462	8	512
5467	5	512
5469	2	512
5476	7	0
5477	1	3
5481	4	0
5482	1	212
5493	11	8
5494	1	5
5497	3	512
5497	0	8
5497	0	5
5497	0	123
5512	15	45
5516	4	299
5519	3	512
5519	0	512
5520	1	512
5520	0	512
5521	1	512
5522	1	512
5522	0	390
5526	4	0
5527	1	113
5528	1	0
5528	0	3
5530	2	512
5530	0	0
5530	0	512
5533	3	0
5536	3	0
5536	0	5
5539	3	43
5539	0	0
5541	2	0
5542	1	0
5542	0	3
5543	1	0
5544	1	512
5545	1	212
5545	0	0
5547	2	5
5549	2	5
5549	0	0
5550	1	5
5551	1	0
5554	3	15
5560	6	0
5561	1	37
5564	3	512
5567	3	0
5569	2	46
5570	1	68
5573	3	34
5574	1	0
5574	0	0
5575	1	0
5576	1	0
5577	1	512
5579	2	256
5579	0	256
5580	1	256
5580	0	15
5584	4	35
5586	2	0
5590	4	0
5590	0	5
5593	3	512
5594	1	512
5594	0	102
5602	8	0
5606	4	0
5613	7	0
5614	1	512
5615	1	512
5616	1	512
5616	0	512
5617	1	512
5617	0	379
5617	0	3
5618	1	0
5620	2	0
5620	0	28
5621	1	0
5622	1	494
5630	8	0
5633	3	32
5640	7	0
5641	1	212
5642	1	212
5646	4	0
5650	4	0
5650	0	0
5653	3	512
5653	0	0
5654	1	3
5659	5	0
5662	3	0
5664	2	39
5667	3	6
5669	2	0
5675	6	0
5677	2	0
5685	8	0
5688	3	512
5688	0	0
5690	2	512
5694	4	536
5698	4	0
5700	2	256
5704	4	0
5706	2	512
5706	0	0
5707	1	0
5708	1	0
5710	2	256
5721	11	5
5730	9	0
5731	1	536
5731	0	5
5734	3	536
5735	1	34
5738	3	0
5738	0	0
5739	1	3
5743	4	0
5744	1	512
5748	4	13
5750	2	0
5752	2	512
5757	5	512
5758	1	0
5760	2	5
5766	6	0
5766	0	5
5768	2	26
5770	2	30
5775	5	512
5775	0	512
5776	1	512
5779	3	0
5779	0	0
5782	3	15
5783	1	512
5784	1	512
5792	8	15
5793	1	0
5797	4	0
5800	3	512
5800	0	512
5801	1	512
5806	5	49
5807	1	0
5807	0	0
5809	2	0
5815	6	0
5816	1	0
5823	7	0
5823	0	51
5825	2	15
5826	1	15
5827	1	5
5832	5	6
5834	2	58
5836	2	40
5837	1	45
5841	4	5
5842	1	512
5844	2	512
5847	3	6
5856	9	0
5858	2	512
5859	1	512
5863	4	40
5876	13	0
5878	2	512
5879	1	512
5883	4	0
5886	3	0
5888	2	256
5891	3	15
5895	4	15
5898	3	0
5908	10	30
5922	14	0
5924	2	212
5925	1	46
5926	1	1
5928	2	37
5929	1	0
5931	2	15
5937	6	0
5944	7	62
5944	0	0
5946	2	512
5948	2	5
5954	6	512
5954	0	512
5955	1	512
5955	0	34
5958	3	0
5962	4	3
5963	1	0
5964	1	0
5965	1	0
5966	1	53
5966	0	0
5966	0	0
5969	3	212
5973	4	512
5974	1	512
5974	0	0
5974	0	512
5975	1	40
5977	2	0
5977	0	512
5977	0	0
5978	1	512
5978	0	154
5979	1	0
5980	1	256
5981	1	0
5982	1	409
5983	1	0
5983	0	212
5983	0	5
5986	3	0
5987	1	0
5987	0	0
5994	7	0
5995	1	3
6001	6	37
6004	3	0
6006	2	512
6007	1	0
6008	1	256
6009	1	46
6009	0	0
6009	0	6
6011	2	512
6012	1	15
6014	2	38
6022	8	5
6023	1	0
6023	0	0
6025	2	512
6026	1	512
6027	1	0
6027	0	452
6030	3	5
6032	2	35
6033	1	62
6047	14	0
6052	5	512
6052	0	38
6053	1	0
6054	1	0
6055	1	512
6055	0	0
6055	0	8
6058	3	332
6058	0	0
6061	3	0
6061	0	5
6062	1	512
6063	1	406
6090	27	512
6090	0	193
6092	2	60
6094	2	0
6094	0	0
6096	2	212
6102	6	0
6103	1	5
6103	0	5
6103	0	5
6110	7	512
6110	0	41
6113	3	0
6115	2	256
6121	6	33
6122	1	0
6124	2	512
6125	1	512
6127	2	0
6128	1	15
6131	3	0
6141	10	0
6142	1	3
6142	0	51
6146	4	0
6147	1	5
6149	2	512
6149	0	5
6149	0	13
6150	1	512
6151	1	93
6154	3	5
6162	8	15
6162	0	15
6162	0	15
6163	1	19
6163	0	15
6166	3	0
6168	2	41
6170	2	42
6175	5	52
6177	2	0
6177	0	0
6178	1	5
6179	1	0
6180	1	212
6182	2	0
6183	1	256
6184	1	5
6184	0	3
6186	2	1460
6187	1	1460
6188	1	1293
6189	1	39
6190	1	5
6190	0	0
6190	0	512
6191	1	512
6191	0	35
6192	1	512
6194	2	0
6194	0	24
6201	7	0
6202	1	3
6214	12	0
6214	0	3
6220	6	0
6226	6	0
6234	8	0
6235	1	0
6235	0	1
6239	4	0
6240	1	47
6243	3	36
6244	1	0
6245	1	512
6246	1	512
6246	0	256
6249	3	512
6252	3	0
6253	1	0
6256	3	3
6259	3	0
6266	7	5
6266	0	15
6267	1	5
6272	5	0
6272	0	0
6273	1	3
6274	1	0
6274	0	5
6274	0	15
6275	1	0
6277	2	536
6277	0	15
6278	1	15
6278	0	56
6279	1	0
6279	0	15
6279	0	5
6281	2	6
6282	1	512
6282	0	512
6283	1	512
6284	1	0
6284	0	8
6284	0	46
6288	4	0
6291	3	0
6293	2	38
6297	4	0
6298	1	45
6298	0	0
6307	9	97
6310	3	0
6311	1	0
6312	1	256
6313	1	512
6318	5	0
6319	1	0
6321	2	0
6324	3	512
6325	1	43
6330	5	0
6331	1	15
6333	2	0
6334	1	19
6334	0	15
6335	1	5
6342	7	512
6343	1	512
6344	1	512
6344	0	512
6344	0	39
6346	2	0
6347	1	512
6349	2	40
6351	2	0
6351	0	5
6353	2	105
6355	2	5
6358	3	512
6358	0	0
6358	0	27
6359	1	512
6360	1	512
6361	1	212
6366	5	0
6370	4	39
6378	8	536
6378	0	5
6380	2	0
6382	2	536
6382	0	512
6382	0	15
6382	0	0
6382	0	55
6385	3	256
6385	0	42
6388	3	0
6392	4	0
6392	0	0
6394	2	512
6394	0	5
6394	0	0
6395	1	0
6396	1	0
6397	1	0
6398	1	512
6398	0	512
6399	1	241
6400	1	512
6401	1	35
6405	4	0
6410	5	512
6411	1	512
6411	0	512
6412	1	426
6413	1	512
6414	1	43
6415	1	0
6416	1	0
6416	0	0
6417	1	3
6420	3	0
6421	1	15
6423	2	0
6432	9	0
